online;opt;konk
75;55;1.3636363636363635
64;52;1.2307692307692308
62;52;1.1923076923076923
57;44;1.2954545454545454
58;45;1.288888888888889
61;48;1.2708333333333333
49;38;1.2894736842105263
71;52;1.3653846153846154
78;58;1.3448275862068966
68;50;1.36
71;53;1.3396226415094339
75;56;1.3392857142857142
72;55;1.309090909090909
60;46;1.3043478260869565
73;55;1.3272727272727274
68;51;1.3333333333333333
49;38;1.2894736842105263
56;45;1.2444444444444445
70;54;1.2962962962962963
67;49;1.3673469387755102
69;57;1.2105263157894737
65;49;1.3265306122448979
59;48;1.2291666666666667
64;50;1.28
67;51;1.3137254901960784
57;46;1.2391304347826086
58;47;1.2340425531914894
66;50;1.32
69;54;1.2777777777777777
64;49;1.3061224489795917
76;62;1.2258064516129032
72;54;1.3333333333333333
52;41;1.2682926829268293
65;52;1.25
69;55;1.2545454545454546
57;45;1.2666666666666666
68;51;1.3333333333333333
74;58;1.2758620689655173
73;59;1.2372881355932204
51;38;1.3421052631578947
69;56;1.2321428571428572
74;58;1.2758620689655173
52;41;1.2682926829268293
54;43;1.255813953488372
78;59;1.3220338983050848
70;53;1.320754716981132
65;51;1.2745098039215685
55;43;1.2790697674418605
62;47;1.3191489361702127
72;54;1.3333333333333333
75;58;1.293103448275862
72;57;1.263157894736842
78;59;1.3220338983050848
53;42;1.2619047619047619
70;55;1.2727272727272727
69;55;1.2545454545454546
70;56;1.25
60;47;1.2765957446808511
69;52;1.3269230769230769
78;60;1.3
65;50;1.3
68;50;1.36
68;53;1.2830188679245282
67;49;1.3673469387755102
57;46;1.2391304347826086
76;59;1.2881355932203389
69;53;1.3018867924528301
70;51;1.3725490196078431
64;50;1.28
53;42;1.2619047619047619
52;41;1.2682926829268293
73;55;1.3272727272727274
70;55;1.2727272727272727
54;44;1.2272727272727273
70;52;1.3461538461538463
64;50;1.28
66;52;1.2692307692307692
71;57;1.2456140350877194
73;57;1.280701754385965
62;47;1.3191489361702127
71;54;1.3148148148148149
85;64;1.328125
71;55;1.290909090909091
79;65;1.2153846153846153
62;49;1.2653061224489797
74;60;1.2333333333333334
68;51;1.3333333333333333
62;49;1.2653061224489797
78;60;1.3
67;52;1.2884615384615385
54;39;1.3846153846153846
60;47;1.2765957446808511
60;49;1.2244897959183674
51;40;1.275
59;51;1.1568627450980393
73;55;1.3272727272727274
64;47;1.3617021276595744
60;46;1.3043478260869565
65;51;1.2745098039215685
55;44;1.25
64;49;1.3061224489795917
66;49;1.346938775510204
67;51;1.3137254901960784
67;50;1.34
66;50;1.32
66;53;1.2452830188679245
62;51;1.2156862745098038
51;39;1.3076923076923077
61;47;1.297872340425532
65;52;1.25
64;50;1.28
68;49;1.3877551020408163
72;55;1.309090909090909
60;50;1.2
58;43;1.3488372093023255
58;45;1.288888888888889
46;38;1.2105263157894737
63;51;1.2352941176470589
68;53;1.2830188679245282
69;52;1.3269230769230769
68;54;1.2592592592592593
61;49;1.2448979591836735
56;44;1.2727272727272727
72;54;1.3333333333333333
67;52;1.2884615384615385
75;61;1.2295081967213115
73;60;1.2166666666666666
67;54;1.2407407407407407
66;52;1.2692307692307692
68;52;1.3076923076923077
64;50;1.28
68;52;1.3076923076923077
62;48;1.2916666666666667
60;47;1.2765957446808511
68;52;1.3076923076923077
