online;opt;konk
75;60;1.25
60;48;1.25
46;41;1.1219512195121952
62;54;1.1481481481481481
46;43;1.069767441860465
40;38;1.0526315789473684
62;52;1.1923076923076923
60;51;1.1764705882352942
73;63;1.1587301587301588
51;48;1.0625
70;59;1.1864406779661016
70;60;1.1666666666666667
78;60;1.3
61;46;1.326086956521739
60;50;1.2
88;68;1.2941176470588236
61;55;1.1090909090909091
67;54;1.2407407407407407
31;29;1.0689655172413792
41;38;1.0789473684210527
62;55;1.1272727272727272
49;46;1.065217391304348
53;48;1.1041666666666667
52;42;1.2380952380952381
69;59;1.1694915254237288
62;50;1.24
79;64;1.234375
63;55;1.1454545454545455
54;48;1.125
38;36;1.0555555555555556
47;42;1.119047619047619
50;46;1.0869565217391304
45;40;1.125
49;42;1.1666666666666667
59;50;1.18
67;53;1.2641509433962264
55;47;1.1702127659574468
54;49;1.1020408163265305
53;46;1.1521739130434783
60;50;1.2
63;56;1.125
62;54;1.1481481481481481
56;48;1.1666666666666667
60;50;1.2
52;45;1.1555555555555554
48;44;1.0909090909090908
55;47;1.1702127659574468
66;54;1.2222222222222223
54;48;1.125
71;55;1.290909090909091
68;56;1.2142857142857142
82;60;1.3666666666666667
57;51;1.1176470588235294
56;46;1.2173913043478262
39;33;1.1818181818181819
45;40;1.125
49;43;1.1395348837209303
48;43;1.1162790697674418
63;53;1.1886792452830188
49;45;1.0888888888888888
59;55;1.0727272727272728
55;51;1.0784313725490196
51;46;1.108695652173913
42;38;1.105263157894737
47;42;1.119047619047619
65;52;1.25
52;46;1.1304347826086956
41;39;1.0512820512820513
59;55;1.0727272727272728
67;56;1.1964285714285714
56;54;1.037037037037037
48;42;1.1428571428571428
53;48;1.1041666666666667
63;54;1.1666666666666667
78;63;1.2380952380952381
68;50;1.36
68;57;1.1929824561403508
46;41;1.1219512195121952
43;41;1.048780487804878
58;46;1.2608695652173914
54;46;1.173913043478261
40;36;1.1111111111111112
46;42;1.0952380952380953
54;40;1.35
77;58;1.3275862068965518
58;44;1.3181818181818181
77;54;1.4259259259259258
57;47;1.2127659574468086
71;60;1.1833333333333333
55;49;1.1224489795918366
53;48;1.1041666666666667
68;60;1.1333333333333333
61;50;1.22
58;52;1.1153846153846154
52;47;1.1063829787234043
67;57;1.1754385964912282
47;43;1.0930232558139534
44;37;1.1891891891891893
52;46;1.1304347826086956
53;48;1.1041666666666667
51;47;1.0851063829787233
66;57;1.1578947368421053
58;50;1.16
59;51;1.1568627450980393
55;47;1.1702127659574468
57;50;1.14
74;63;1.1746031746031746
62;55;1.1272727272727272
60;53;1.1320754716981132
63;51;1.2352941176470589
67;52;1.2884615384615385
67;62;1.0806451612903225
46;42;1.0952380952380953
42;38;1.105263157894737
67;51;1.3137254901960784
76;62;1.2258064516129032
56;51;1.0980392156862746
44;37;1.1891891891891893
56;48;1.1666666666666667
55;48;1.1458333333333333
39;37;1.054054054054054
61;55;1.1090909090909091
56;50;1.12
81;65;1.2461538461538462
41;36;1.1388888888888888
60;49;1.2244897959183674
57;50;1.14
48;46;1.0434782608695652
63;57;1.105263157894737
53;48;1.1041666666666667
45;41;1.0975609756097562
51;46;1.108695652173913
63;54;1.1666666666666667
71;56;1.2678571428571428
52;48;1.0833333333333333
69;56;1.2321428571428572
53;47;1.127659574468085
64;50;1.28
64;51;1.2549019607843137
46;44;1.0454545454545454
53;47;1.127659574468085
62;52;1.1923076923076923
68;57;1.1929824561403508
84;69;1.2173913043478262
51;47;1.0851063829787233
65;57;1.1403508771929824
62;51;1.2156862745098038
71;59;1.2033898305084745
82;62;1.3225806451612903
52;39;1.3333333333333333
75;66;1.1363636363636365
41;37;1.1081081081081081
55;50;1.1
48;45;1.0666666666666667
80;62;1.2903225806451613
57;47;1.2127659574468086
57;49;1.163265306122449
45;39;1.1538461538461537
42;40;1.05
61;51;1.196078431372549
45;41;1.0975609756097562
67;58;1.1551724137931034
70;57;1.2280701754385965
68;57;1.1929824561403508
62;51;1.2156862745098038
75;60;1.25
56;51;1.0980392156862746
46;42;1.0952380952380953
45;41;1.0975609756097562
