online;opt;konk
64;56;1.1428571428571428
61;53;1.150943396226415
60;47;1.2765957446808511
75;63;1.1904761904761905
62;53;1.169811320754717
42;37;1.135135135135135
51;47;1.0851063829787233
52;49;1.0612244897959184
64;52;1.2307692307692308
51;46;1.108695652173913
70;61;1.1475409836065573
59;51;1.1568627450980393
77;67;1.1492537313432836
59;51;1.1568627450980393
55;50;1.1
69;57;1.2105263157894737
51;46;1.108695652173913
67;56;1.1964285714285714
50;41;1.2195121951219512
60;52;1.1538461538461537
65;57;1.1403508771929824
79;67;1.1791044776119404
58;50;1.16
58;52;1.1153846153846154
63;57;1.105263157894737
71;60;1.1833333333333333
74;63;1.1746031746031746
45;39;1.1538461538461537
64;58;1.103448275862069
46;39;1.1794871794871795
60;48;1.25
68;59;1.152542372881356
53;46;1.1521739130434783
58;52;1.1153846153846154
64;54;1.1851851851851851
59;50;1.18
57;49;1.163265306122449
55;49;1.1224489795918366
41;36;1.1388888888888888
56;48;1.1666666666666667
54;48;1.125
59;53;1.1132075471698113
52;46;1.1304347826086956
57;52;1.0961538461538463
61;55;1.1090909090909091
59;51;1.1568627450980393
39;36;1.0833333333333333
54;47;1.148936170212766
64;53;1.2075471698113207
59;53;1.1132075471698113
60;47;1.2765957446808511
56;46;1.2173913043478262
67;61;1.098360655737705
64;55;1.1636363636363636
51;43;1.186046511627907
74;55;1.3454545454545455
70;53;1.320754716981132
64;53;1.2075471698113207
53;48;1.1041666666666667
41;37;1.1081081081081081
60;55;1.0909090909090908
74;61;1.2131147540983607
60;53;1.1320754716981132
62;51;1.2156862745098038
68;57;1.1929824561403508
62;50;1.24
60;52;1.1538461538461537
59;51;1.1568627450980393
47;43;1.0930232558139534
58;50;1.16
60;52;1.1538461538461537
59;50;1.18
54;47;1.148936170212766
55;47;1.1702127659574468
58;54;1.0740740740740742
52;47;1.1063829787234043
59;53;1.1132075471698113
59;53;1.1132075471698113
52;47;1.1063829787234043
50;44;1.1363636363636365
66;54;1.2222222222222223
59;47;1.2553191489361701
49;46;1.065217391304348
58;53;1.0943396226415094
53;46;1.1521739130434783
61;51;1.196078431372549
70;61;1.1475409836065573
73;62;1.1774193548387097
64;54;1.1851851851851851
70;51;1.3725490196078431
56;49;1.1428571428571428
55;48;1.1458333333333333
72;62;1.1612903225806452
56;48;1.1666666666666667
52;43;1.2093023255813953
64;56;1.1428571428571428
60;50;1.2
39;36;1.0833333333333333
42;39;1.0769230769230769
58;50;1.16
55;48;1.1458333333333333
75;65;1.1538461538461537
54;49;1.1020408163265305
70;50;1.4
52;49;1.0612244897959184
50;45;1.1111111111111112
49;44;1.1136363636363635
56;51;1.0980392156862746
66;55;1.2
45;37;1.2162162162162162
