online;opt;konk
51;38;1.3421052631578947
74;59;1.2542372881355932
63;46;1.3695652173913044
51;37;1.3783783783783783
58;45;1.288888888888889
63;48;1.3125
53;42;1.2619047619047619
70;55;1.2727272727272727
49;35;1.4
60;42;1.4285714285714286
73;59;1.2372881355932204
70;54;1.2962962962962963
56;42;1.3333333333333333
67;50;1.34
59;44;1.3409090909090908
55;44;1.25
57;46;1.2391304347826086
42;34;1.2352941176470589
74;56;1.3214285714285714
41;34;1.2058823529411764
60;45;1.3333333333333333
67;48;1.3958333333333333
71;54;1.3148148148148149
65;52;1.25
61;45;1.3555555555555556
83;65;1.2769230769230768
72;54;1.3333333333333333
61;48;1.2708333333333333
68;55;1.2363636363636363
56;42;1.3333333333333333
63;50;1.26
50;39;1.2820512820512822
64;50;1.28
70;55;1.2727272727272727
78;66;1.1818181818181819
69;51;1.3529411764705883
68;46;1.4782608695652173
69;51;1.3529411764705883
54;43;1.255813953488372
71;56;1.2678571428571428
61;50;1.22
48;37;1.2972972972972974
57;44;1.2954545454545454
43;35;1.2285714285714286
50;40;1.25
67;46;1.4565217391304348
55;43;1.2790697674418605
67;50;1.34
59;43;1.372093023255814
60;46;1.3043478260869565
56;43;1.302325581395349
62;49;1.2653061224489797
70;54;1.2962962962962963
65;52;1.25
64;51;1.2549019607843137
67;49;1.3673469387755102
47;36;1.3055555555555556
51;37;1.3783783783783783
58;48;1.2083333333333333
55;43;1.2790697674418605
64;48;1.3333333333333333
61;46;1.326086956521739
52;42;1.2380952380952381
69;52;1.3269230769230769
66;52;1.2692307692307692
60;50;1.2
86;68;1.2647058823529411
59;49;1.2040816326530612
57;47;1.2127659574468086
72;54;1.3333333333333333
57;44;1.2954545454545454
76;60;1.2666666666666666
54;40;1.35
46;36;1.2777777777777777
79;64;1.234375
75;56;1.3392857142857142
74;59;1.2542372881355932
54;41;1.3170731707317074
74;56;1.3214285714285714
68;55;1.2363636363636363
62;48;1.2916666666666667
65;52;1.25
77;59;1.305084745762712
66;52;1.2692307692307692
48;37;1.2972972972972974
84;66;1.2727272727272727
54;43;1.255813953488372
76;57;1.3333333333333333
58;45;1.288888888888889
58;37;1.5675675675675675
61;45;1.3555555555555556
53;45;1.1777777777777778
58;44;1.3181818181818181
66;50;1.32
69;53;1.3018867924528301
90;65;1.3846153846153846
80;64;1.25
48;38;1.263157894736842
67;52;1.2884615384615385
59;49;1.2040816326530612
63;53;1.1886792452830188
59;50;1.18
53;42;1.2619047619047619
64;54;1.1851851851851851
81;59;1.3728813559322033
52;41;1.2682926829268293
78;63;1.2380952380952381
63;52;1.2115384615384615
71;52;1.3653846153846154
72;58;1.2413793103448276
59;43;1.372093023255814
63;46;1.3695652173913044
47;39;1.205128205128205
72;57;1.263157894736842
56;44;1.2727272727272727
64;50;1.28
71;56;1.2678571428571428
59;46;1.2826086956521738
69;56;1.2321428571428572
73;52;1.4038461538461537
56;44;1.2727272727272727
83;61;1.360655737704918
63;45;1.4
73;56;1.3035714285714286
63;51;1.2352941176470589
70;50;1.4
68;47;1.446808510638298
54;42;1.2857142857142858
53;41;1.2926829268292683
71;50;1.42
63;48;1.3125
65;51;1.2745098039215685
66;54;1.2222222222222223
59;43;1.372093023255814
51;37;1.3783783783783783
77;62;1.2419354838709677
65;56;1.1607142857142858
51;40;1.275
71;53;1.3396226415094339
65;47;1.3829787234042554
81;61;1.3278688524590163
77;61;1.2622950819672132
77;57;1.3508771929824561
64;49;1.3061224489795917
67;48;1.3958333333333333
53;43;1.2325581395348837
59;45;1.3111111111111111
72;55;1.309090909090909
74;59;1.2542372881355932
54;42;1.2857142857142858
55;48;1.1458333333333333
71;57;1.2456140350877194
70;53;1.320754716981132
67;52;1.2884615384615385
57;43;1.3255813953488371
73;60;1.2166666666666666
77;61;1.2622950819672132
65;53;1.2264150943396226
81;68;1.1911764705882353
62;49;1.2653061224489797
76;51;1.4901960784313726
75;60;1.25
69;56;1.2321428571428572
65;56;1.1607142857142858
60;51;1.1764705882352942
72;57;1.263157894736842
66;52;1.2692307692307692
68;52;1.3076923076923077
56;42;1.3333333333333333
69;51;1.3529411764705883
68;50;1.36
67;49;1.3673469387755102
55;42;1.3095238095238095
70;53;1.320754716981132
69;55;1.2545454545454546
74;53;1.3962264150943395
76;62;1.2258064516129032
73;58;1.2586206896551724
76;60;1.2666666666666666
