online;opt;konk
62;56;1.1071428571428572
65;56;1.1607142857142858
43;40;1.075
63;56;1.125
49;44;1.1136363636363635
56;51;1.0980392156862746
54;50;1.08
53;48;1.1041666666666667
55;49;1.1224489795918366
60;49;1.2244897959183674
62;54;1.1481481481481481
63;56;1.125
56;48;1.1666666666666667
64;54;1.1851851851851851
49;45;1.0888888888888888
60;55;1.0909090909090908
55;49;1.1224489795918366
70;62;1.1290322580645162
51;46;1.108695652173913
57;51;1.1176470588235294
48;45;1.0666666666666667
60;54;1.1111111111111112
53;45;1.1777777777777778
53;48;1.1041666666666667
48;44;1.0909090909090908
57;51;1.1176470588235294
38;36;1.0555555555555556
57;48;1.1875
68;58;1.1724137931034482
55;48;1.1458333333333333
50;46;1.0869565217391304
50;47;1.0638297872340425
58;51;1.1372549019607843
61;52;1.1730769230769231
50;46;1.0869565217391304
57;51;1.1176470588235294
59;48;1.2291666666666667
62;55;1.1272727272727272
53;48;1.1041666666666667
56;51;1.0980392156862746
60;54;1.1111111111111112
55;51;1.0784313725490196
62;56;1.1071428571428572
59;50;1.18
44;39;1.1282051282051282
71;60;1.1833333333333333
54;49;1.1020408163265305
52;47;1.1063829787234043
53;45;1.1777777777777778
44;41;1.0731707317073171
72;62;1.1612903225806452
68;60;1.1333333333333333
50;43;1.1627906976744187
67;57;1.1754385964912282
49;45;1.0888888888888888
47;44;1.0681818181818181
62;53;1.169811320754717
56;51;1.0980392156862746
55;51;1.0784313725490196
45;42;1.0714285714285714
63;56;1.125
52;47;1.1063829787234043
65;53;1.2264150943396226
60;54;1.1111111111111112
52;48;1.0833333333333333
55;49;1.1224489795918366
62;53;1.169811320754717
54;48;1.125
59;52;1.1346153846153846
52;48;1.0833333333333333
60;56;1.0714285714285714
67;57;1.1754385964912282
40;38;1.0526315789473684
60;54;1.1111111111111112
44;41;1.0731707317073171
64;54;1.1851851851851851
65;54;1.2037037037037037
49;44;1.1136363636363635
52;46;1.1304347826086956
49;45;1.0888888888888888
71;61;1.1639344262295082
57;49;1.163265306122449
50;46;1.0869565217391304
57;53;1.0754716981132075
62;55;1.1272727272727272
74;63;1.1746031746031746
48;42;1.1428571428571428
51;47;1.0851063829787233
53;47;1.127659574468085
59;51;1.1568627450980393
63;51;1.2352941176470589
63;56;1.125
63;54;1.1666666666666667
55;49;1.1224489795918366
62;54;1.1481481481481481
47;44;1.0681818181818181
63;55;1.1454545454545455
56;48;1.1666666666666667
57;50;1.14
56;51;1.0980392156862746
68;58;1.1724137931034482
71;59;1.2033898305084745
65;57;1.1403508771929824
67;60;1.1166666666666667
60;51;1.1764705882352942
62;53;1.169811320754717
49;46;1.065217391304348
59;50;1.18
70;62;1.1290322580645162
58;52;1.1153846153846154
56;49;1.1428571428571428
58;44;1.3181818181818181
54;48;1.125
57;50;1.14
54;49;1.1020408163265305
52;47;1.1063829787234043
51;46;1.108695652173913
56;49;1.1428571428571428
55;48;1.1458333333333333
74;61;1.2131147540983607
60;51;1.1764705882352942
52;46;1.1304347826086956
63;54;1.1666666666666667
63;53;1.1886792452830188
62;52;1.1923076923076923
59;49;1.2040816326530612
54;48;1.125
63;53;1.1886792452830188
54;51;1.0588235294117647
54;48;1.125
44;41;1.0731707317073171
67;57;1.1754385964912282
64;57;1.1228070175438596
63;57;1.105263157894737
50;46;1.0869565217391304
59;51;1.1568627450980393
71;60;1.1833333333333333
57;51;1.1176470588235294
58;54;1.0740740740740742
61;54;1.1296296296296295
61;53;1.150943396226415
47;43;1.0930232558139534
58;54;1.0740740740740742
55;47;1.1702127659574468
76;61;1.2459016393442623
58;51;1.1372549019607843
62;52;1.1923076923076923
56;49;1.1428571428571428
56;52;1.0769230769230769
69;60;1.15
68;57;1.1929824561403508
52;46;1.1304347826086956
59;51;1.1568627450980393
58;51;1.1372549019607843
45;41;1.0975609756097562
67;62;1.0806451612903225
56;51;1.0980392156862746
59;52;1.1346153846153846
57;51;1.1176470588235294
54;48;1.125
52;47;1.1063829787234043
59;50;1.18
49;44;1.1136363636363635
60;54;1.1111111111111112
61;55;1.1090909090909091
53;48;1.1041666666666667
55;50;1.1
48;43;1.1162790697674418
64;57;1.1228070175438596
58;52;1.1153846153846154
68;59;1.152542372881356
56;49;1.1428571428571428
57;53;1.0754716981132075
51;46;1.108695652173913
45;41;1.0975609756097562
53;47;1.127659574468085
58;50;1.16
64;54;1.1851851851851851
57;52;1.0961538461538463
63;57;1.105263157894737
57;52;1.0961538461538463
60;53;1.1320754716981132
55;49;1.1224489795918366
59;51;1.1568627450980393
68;59;1.152542372881356
47;42;1.119047619047619
57;53;1.0754716981132075
48;44;1.0909090909090908
57;49;1.163265306122449
75;61;1.2295081967213115
49;47;1.0425531914893618
52;46;1.1304347826086956
59;52;1.1346153846153846
57;50;1.14
60;53;1.1320754716981132
58;47;1.2340425531914894
65;56;1.1607142857142858
64;54;1.1851851851851851
63;54;1.1666666666666667
53;48;1.1041666666666667
57;48;1.1875
60;50;1.2
58;49;1.183673469387755
60;51;1.1764705882352942
54;50;1.08
58;52;1.1153846153846154
60;53;1.1320754716981132
63;56;1.125
59;53;1.1132075471698113
48;45;1.0666666666666667
49;45;1.0888888888888888
47;43;1.0930232558139534
56;50;1.12
71;62;1.1451612903225807
54;48;1.125
43;40;1.075
55;50;1.1
64;56;1.1428571428571428
66;55;1.2
62;56;1.1071428571428572
64;51;1.2549019607843137
61;54;1.1296296296296295
58;52;1.1153846153846154
60;54;1.1111111111111112
56;49;1.1428571428571428
64;57;1.1228070175438596
52;45;1.1555555555555554
63;55;1.1454545454545455
57;53;1.0754716981132075
52;48;1.0833333333333333
67;58;1.1551724137931034
60;52;1.1538461538461537
64;58;1.103448275862069
49;45;1.0888888888888888
55;51;1.0784313725490196
60;53;1.1320754716981132
63;56;1.125
59;50;1.18
58;49;1.183673469387755
51;46;1.108695652173913
68;56;1.2142857142857142
55;48;1.1458333333333333
58;51;1.1372549019607843
55;50;1.1
59;52;1.1346153846153846
55;46;1.1956521739130435
54;49;1.1020408163265305
50;46;1.0869565217391304
63;52;1.2115384615384615
70;61;1.1475409836065573
51;46;1.108695652173913
69;61;1.1311475409836065
52;46;1.1304347826086956
57;51;1.1176470588235294
64;53;1.2075471698113207
57;50;1.14
65;56;1.1607142857142858
67;58;1.1551724137931034
56;50;1.12
55;50;1.1
58;53;1.0943396226415094
61;52;1.1730769230769231
53;48;1.1041666666666667
64;58;1.103448275862069
48;45;1.0666666666666667
66;55;1.2
57;53;1.0754716981132075
72;62;1.1612903225806452
51;45;1.1333333333333333
58;53;1.0943396226415094
71;59;1.2033898305084745
56;49;1.1428571428571428
71;62;1.1451612903225807
68;59;1.152542372881356
58;50;1.16
49;46;1.065217391304348
69;56;1.2321428571428572
66;56;1.1785714285714286
54;48;1.125
57;51;1.1176470588235294
57;52;1.0961538461538463
56;50;1.12
41;40;1.025
49;46;1.065217391304348
42;40;1.05
53;48;1.1041666666666667
62;56;1.1071428571428572
61;55;1.1090909090909091
56;51;1.0980392156862746
61;56;1.0892857142857142
63;55;1.1454545454545455
64;54;1.1851851851851851
57;51;1.1176470588235294
65;55;1.1818181818181819
60;52;1.1538461538461537
56;49;1.1428571428571428
61;55;1.1090909090909091
40;38;1.0526315789473684
59;50;1.18
56;50;1.12
65;54;1.2037037037037037
60;52;1.1538461538461537
51;47;1.0851063829787233
59;54;1.0925925925925926
63;54;1.1666666666666667
56;52;1.0769230769230769
54;48;1.125
53;49;1.0816326530612246
55;49;1.1224489795918366
58;49;1.183673469387755
70;58;1.206896551724138
66;55;1.2
46;43;1.069767441860465
64;56;1.1428571428571428
65;57;1.1403508771929824
61;54;1.1296296296296295
43;41;1.048780487804878
61;51;1.196078431372549
52;48;1.0833333333333333
