online;opt;konk
51;48;1.0625
59;52;1.1346153846153846
61;48;1.2708333333333333
52;47;1.1063829787234043
54;50;1.08
48;44;1.0909090909090908
56;49;1.1428571428571428
49;44;1.1136363636363635
64;56;1.1428571428571428
45;43;1.0465116279069768
54;47;1.148936170212766
74;62;1.1935483870967742
42;38;1.105263157894737
57;50;1.14
57;53;1.0754716981132075
57;49;1.163265306122449
57;49;1.163265306122449
63;57;1.105263157894737
51;43;1.186046511627907
47;44;1.0681818181818181
57;51;1.1176470588235294
59;54;1.0925925925925926
56;51;1.0980392156862746
49;44;1.1136363636363635
67;56;1.1964285714285714
53;47;1.127659574468085
56;49;1.1428571428571428
57;52;1.0961538461538463
60;51;1.1764705882352942
58;52;1.1153846153846154
54;48;1.125
46;43;1.069767441860465
64;54;1.1851851851851851
46;42;1.0952380952380953
57;50;1.14
54;47;1.148936170212766
62;56;1.1071428571428572
65;54;1.2037037037037037
51;46;1.108695652173913
59;53;1.1132075471698113
61;52;1.1730769230769231
63;49;1.2857142857142858
56;51;1.0980392156862746
61;52;1.1730769230769231
53;48;1.1041666666666667
62;53;1.169811320754717
57;50;1.14
46;41;1.1219512195121952
69;58;1.1896551724137931
56;49;1.1428571428571428
54;48;1.125
53;47;1.127659574468085
49;45;1.0888888888888888
60;52;1.1538461538461537
55;50;1.1
58;52;1.1153846153846154
55;49;1.1224489795918366
66;55;1.2
57;52;1.0961538461538463
61;56;1.0892857142857142
52;49;1.0612244897959184
65;58;1.1206896551724137
51;46;1.108695652173913
61;54;1.1296296296296295
56;50;1.12
62;49;1.2653061224489797
58;50;1.16
58;53;1.0943396226415094
63;55;1.1454545454545455
55;51;1.0784313725490196
58;53;1.0943396226415094
60;55;1.0909090909090908
63;55;1.1454545454545455
56;49;1.1428571428571428
50;46;1.0869565217391304
49;43;1.1395348837209303
61;56;1.0892857142857142
61;54;1.1296296296296295
44;40;1.1
61;53;1.150943396226415
62;55;1.1272727272727272
47;43;1.0930232558139534
48;44;1.0909090909090908
59;52;1.1346153846153846
57;53;1.0754716981132075
47;42;1.119047619047619
68;57;1.1929824561403508
67;61;1.098360655737705
59;50;1.18
63;57;1.105263157894737
65;57;1.1403508771929824
54;50;1.08
54;47;1.148936170212766
55;51;1.0784313725490196
69;60;1.15
57;50;1.14
58;51;1.1372549019607843
58;49;1.183673469387755
60;52;1.1538461538461537
55;46;1.1956521739130435
47;43;1.0930232558139534
55;51;1.0784313725490196
59;52;1.1346153846153846
62;52;1.1923076923076923
48;43;1.1162790697674418
61;51;1.196078431372549
55;50;1.1
59;53;1.1132075471698113
50;46;1.0869565217391304
50;47;1.0638297872340425
61;56;1.0892857142857142
65;55;1.1818181818181819
57;51;1.1176470588235294
60;54;1.1111111111111112
66;58;1.1379310344827587
50;44;1.1363636363636365
49;43;1.1395348837209303
56;50;1.12
55;49;1.1224489795918366
57;50;1.14
69;57;1.2105263157894737
63;51;1.2352941176470589
52;47;1.1063829787234043
65;56;1.1607142857142858
55;50;1.1
53;46;1.1521739130434783
64;56;1.1428571428571428
62;54;1.1481481481481481
61;54;1.1296296296296295
51;48;1.0625
53;46;1.1521739130434783
69;56;1.2321428571428572
59;53;1.1132075471698113
48;45;1.0666666666666667
53;48;1.1041666666666667
44;41;1.0731707317073171
68;59;1.152542372881356
57;52;1.0961538461538463
57;52;1.0961538461538463
66;58;1.1379310344827587
53;46;1.1521739130434783
56;48;1.1666666666666667
54;47;1.148936170212766
61;52;1.1730769230769231
57;52;1.0961538461538463
57;50;1.14
57;49;1.163265306122449
50;43;1.1627906976744187
52;46;1.1304347826086956
52;45;1.1555555555555554
49;46;1.065217391304348
51;46;1.108695652173913
59;54;1.0925925925925926
46;43;1.069767441860465
69;57;1.2105263157894737
64;55;1.1636363636363636
59;53;1.1132075471698113
62;54;1.1481481481481481
57;51;1.1176470588235294
61;52;1.1730769230769231
63;53;1.1886792452830188
69;61;1.1311475409836065
58;52;1.1153846153846154
70;58;1.206896551724138
50;46;1.0869565217391304
58;49;1.183673469387755
50;46;1.0869565217391304
61;55;1.1090909090909091
59;53;1.1132075471698113
61;49;1.2448979591836735
63;57;1.105263157894737
58;53;1.0943396226415094
54;50;1.08
58;50;1.16
72;62;1.1612903225806452
48;44;1.0909090909090908
57;51;1.1176470588235294
58;52;1.1153846153846154
60;53;1.1320754716981132
57;51;1.1176470588235294
42;40;1.05
60;53;1.1320754716981132
60;54;1.1111111111111112
55;48;1.1458333333333333
65;56;1.1607142857142858
65;55;1.1818181818181819
52;48;1.0833333333333333
50;46;1.0869565217391304
65;53;1.2264150943396226
53;49;1.0816326530612246
53;48;1.1041666666666667
70;58;1.206896551724138
60;55;1.0909090909090908
56;49;1.1428571428571428
54;51;1.0588235294117647
69;61;1.1311475409836065
67;56;1.1964285714285714
54;46;1.173913043478261
69;55;1.2545454545454546
65;57;1.1403508771929824
61;53;1.150943396226415
62;53;1.169811320754717
62;54;1.1481481481481481
61;53;1.150943396226415
53;48;1.1041666666666667
44;42;1.0476190476190477
55;50;1.1
40;38;1.0526315789473684
62;53;1.169811320754717
59;55;1.0727272727272728
54;46;1.173913043478261
63;56;1.125
47;45;1.0444444444444445
66;56;1.1785714285714286
49;43;1.1395348837209303
51;47;1.0851063829787233
51;46;1.108695652173913
58;52;1.1153846153846154
58;53;1.0943396226415094
55;49;1.1224489795918366
63;53;1.1886792452830188
57;50;1.14
65;54;1.2037037037037037
47;43;1.0930232558139534
61;54;1.1296296296296295
62;54;1.1481481481481481
60;54;1.1111111111111112
60;53;1.1320754716981132
58;54;1.0740740740740742
71;59;1.2033898305084745
58;54;1.0740740740740742
55;51;1.0784313725490196
61;54;1.1296296296296295
61;56;1.0892857142857142
50;47;1.0638297872340425
67;58;1.1551724137931034
58;53;1.0943396226415094
68;58;1.1724137931034482
60;51;1.1764705882352942
54;49;1.1020408163265305
51;46;1.108695652173913
56;47;1.1914893617021276
60;54;1.1111111111111112
48;45;1.0666666666666667
58;52;1.1153846153846154
59;52;1.1346153846153846
61;51;1.196078431372549
64;56;1.1428571428571428
58;51;1.1372549019607843
50;46;1.0869565217391304
47;42;1.119047619047619
59;54;1.0925925925925926
55;48;1.1458333333333333
62;54;1.1481481481481481
47;42;1.119047619047619
52;44;1.1818181818181819
50;46;1.0869565217391304
53;49;1.0816326530612246
61;52;1.1730769230769231
58;52;1.1153846153846154
64;53;1.2075471698113207
49;45;1.0888888888888888
61;53;1.150943396226415
55;49;1.1224489795918366
58;50;1.16
55;48;1.1458333333333333
56;49;1.1428571428571428
61;52;1.1730769230769231
58;52;1.1153846153846154
60;53;1.1320754716981132
56;49;1.1428571428571428
59;51;1.1568627450980393
54;49;1.1020408163265305
64;54;1.1851851851851851
70;60;1.1666666666666667
62;56;1.1071428571428572
49;44;1.1136363636363635
46;42;1.0952380952380953
52;47;1.1063829787234043
57;50;1.14
53;48;1.1041666666666667
63;54;1.1666666666666667
56;48;1.1666666666666667
59;53;1.1132075471698113
66;56;1.1785714285714286
63;54;1.1666666666666667
49;45;1.0888888888888888
55;51;1.0784313725490196
56;50;1.12
55;50;1.1
62;51;1.2156862745098038
54;44;1.2272727272727273
48;44;1.0909090909090908
50;45;1.1111111111111112
45;42;1.0714285714285714
63;54;1.1666666666666667
55;47;1.1702127659574468
46;41;1.1219512195121952
45;42;1.0714285714285714
51;45;1.1333333333333333
57;49;1.163265306122449
52;45;1.1555555555555554
49;47;1.0425531914893618
64;57;1.1228070175438596
52;47;1.1063829787234043
54;48;1.125
46;42;1.0952380952380953
78;67;1.164179104477612
61;56;1.0892857142857142
48;44;1.0909090909090908
74;58;1.2758620689655173
45;42;1.0714285714285714
68;57;1.1929824561403508
57;51;1.1176470588235294
58;51;1.1372549019607843
57;49;1.163265306122449
54;50;1.08
63;55;1.1454545454545455
56;50;1.12
56;49;1.1428571428571428
51;47;1.0851063829787233
69;61;1.1311475409836065
63;54;1.1666666666666667
60;54;1.1111111111111112
59;52;1.1346153846153846
59;55;1.0727272727272728
68;61;1.1147540983606556
60;54;1.1111111111111112
65;57;1.1403508771929824
60;53;1.1320754716981132
59;53;1.1132075471698113
63;56;1.125
51;46;1.108695652173913
51;47;1.0851063829787233
56;52;1.0769230769230769
60;54;1.1111111111111112
58;54;1.0740740740740742
39;36;1.0833333333333333
64;56;1.1428571428571428
53;47;1.127659574468085
63;53;1.1886792452830188
60;55;1.0909090909090908
55;48;1.1458333333333333
64;55;1.1636363636363636
57;50;1.14
51;45;1.1333333333333333
55;48;1.1458333333333333
59;51;1.1568627450980393
56;48;1.1666666666666667
69;60;1.15
56;49;1.1428571428571428
49;44;1.1136363636363635
38;35;1.0857142857142856
54;46;1.173913043478261
62;50;1.24
56;49;1.1428571428571428
61;55;1.1090909090909091
57;48;1.1875
55;50;1.1
69;59;1.1694915254237288
58;52;1.1153846153846154
48;41;1.170731707317073
70;59;1.1864406779661016
53;48;1.1041666666666667
58;51;1.1372549019607843
61;55;1.1090909090909091
55;50;1.1
66;59;1.11864406779661
53;48;1.1041666666666667
50;47;1.0638297872340425
61;54;1.1296296296296295
56;51;1.0980392156862746
50;46;1.0869565217391304
58;52;1.1153846153846154
61;54;1.1296296296296295
51;48;1.0625
53;45;1.1777777777777778
64;58;1.103448275862069
64;54;1.1851851851851851
52;48;1.0833333333333333
50;45;1.1111111111111112
57;53;1.0754716981132075
63;54;1.1666666666666667
75;60;1.25
56;50;1.12
49;43;1.1395348837209303
50;46;1.0869565217391304
58;52;1.1153846153846154
64;57;1.1228070175438596
69;62;1.1129032258064515
