online;opt;konk
50;46;1.0869565217391304
49;42;1.1666666666666667
50;47;1.0638297872340425
48;44;1.0909090909090908
59;51;1.1568627450980393
48;44;1.0909090909090908
67;56;1.1964285714285714
52;44;1.1818181818181819
57;49;1.163265306122449
64;51;1.2549019607843137
48;41;1.170731707317073
55;48;1.1458333333333333
86;71;1.2112676056338028
80;67;1.1940298507462686
60;55;1.0909090909090908
63;52;1.2115384615384615
73;60;1.2166666666666666
56;43;1.302325581395349
39;36;1.0833333333333333
43;39;1.1025641025641026
69;64;1.078125
67;56;1.1964285714285714
76;61;1.2459016393442623
48;45;1.0666666666666667
56;48;1.1666666666666667
65;51;1.2745098039215685
53;48;1.1041666666666667
64;53;1.2075471698113207
66;61;1.0819672131147542
82;66;1.2424242424242424
50;44;1.1363636363636365
78;64;1.21875
56;49;1.1428571428571428
79;65;1.2153846153846153
36;34;1.0588235294117647
46;41;1.1219512195121952
69;58;1.1896551724137931
64;53;1.2075471698113207
68;58;1.1724137931034482
73;56;1.3035714285714286
56;50;1.12
55;48;1.1458333333333333
55;46;1.1956521739130435
46;41;1.1219512195121952
52;48;1.0833333333333333
74;53;1.3962264150943395
38;37;1.027027027027027
76;61;1.2459016393442623
70;56;1.25
71;61;1.1639344262295082
66;51;1.2941176470588236
55;48;1.1458333333333333
66;57;1.1578947368421053
64;58;1.103448275862069
70;58;1.206896551724138
68;57;1.1929824561403508
55;48;1.1458333333333333
50;48;1.0416666666666667
47;45;1.0444444444444445
51;45;1.1333333333333333
46;41;1.1219512195121952
64;52;1.2307692307692308
65;54;1.2037037037037037
53;48;1.1041666666666667
52;47;1.1063829787234043
63;56;1.125
57;53;1.0754716981132075
52;48;1.0833333333333333
76;62;1.2258064516129032
66;56;1.1785714285714286
66;56;1.1785714285714286
50;44;1.1363636363636365
49;44;1.1136363636363635
66;55;1.2
66;52;1.2692307692307692
65;55;1.1818181818181819
62;54;1.1481481481481481
75;59;1.271186440677966
33;32;1.03125
51;48;1.0625
64;54;1.1851851851851851
77;58;1.3275862068965518
56;47;1.1914893617021276
68;56;1.2142857142857142
38;34;1.1176470588235294
59;51;1.1568627450980393
74;61;1.2131147540983607
47;43;1.0930232558139534
56;46;1.2173913043478262
43;35;1.2285714285714286
61;57;1.0701754385964912
65;61;1.0655737704918034
79;63;1.253968253968254
37;33;1.121212121212121
67;55;1.2181818181818183
54;49;1.1020408163265305
76;66;1.1515151515151516
49;45;1.0888888888888888
60;51;1.1764705882352942
70;56;1.25
91;64;1.421875
59;49;1.2040816326530612
38;35;1.0857142857142856
46;41;1.1219512195121952
66;57;1.1578947368421053
72;61;1.180327868852459
65;59;1.1016949152542372
50;48;1.0416666666666667
63;55;1.1454545454545455
57;50;1.14
60;52;1.1538461538461537
47;41;1.146341463414634
62;55;1.1272727272727272
56;49;1.1428571428571428
75;59;1.271186440677966
49;43;1.1395348837209303
73;64;1.140625
56;51;1.0980392156862746
59;50;1.18
61;50;1.22
53;44;1.2045454545454546
64;58;1.103448275862069
65;58;1.1206896551724137
46;42;1.0952380952380953
64;56;1.1428571428571428
64;56;1.1428571428571428
50;41;1.2195121951219512
71;62;1.1451612903225807
76;67;1.1343283582089552
62;50;1.24
64;53;1.2075471698113207
47;42;1.119047619047619
58;48;1.2083333333333333
56;47;1.1914893617021276
52;46;1.1304347826086956
71;63;1.126984126984127
41;36;1.1388888888888888
53;47;1.127659574468085
66;57;1.1578947368421053
67;56;1.1964285714285714
66;50;1.32
68;54;1.2592592592592593
64;53;1.2075471698113207
58;52;1.1153846153846154
51;46;1.108695652173913
68;56;1.2142857142857142
53;47;1.127659574468085
53;44;1.2045454545454546
78;65;1.2
61;50;1.22
45;41;1.0975609756097562
51;46;1.108695652173913
36;35;1.0285714285714285
68;54;1.2592592592592593
64;53;1.2075471698113207
66;56;1.1785714285714286
72;60;1.2
57;52;1.0961538461538463
70;55;1.2727272727272727
79;64;1.234375
79;61;1.2950819672131149
68;58;1.1724137931034482
60;54;1.1111111111111112
73;54;1.3518518518518519
67;57;1.1754385964912282
48;41;1.170731707317073
63;50;1.26
63;55;1.1454545454545455
82;69;1.1884057971014492
79;65;1.2153846153846153
52;43;1.2093023255813953
53;48;1.1041666666666667
89;70;1.2714285714285714
33;30;1.1
67;55;1.2181818181818183
68;57;1.1929824561403508
50;40;1.25
56;50;1.12
59;49;1.2040816326530612
56;46;1.2173913043478262
46;38;1.2105263157894737
67;55;1.2181818181818183
77;63;1.2222222222222223
82;67;1.2238805970149254
80;68;1.1764705882352942
52;50;1.04
49;43;1.1395348837209303
59;49;1.2040816326530612
60;52;1.1538461538461537
71;56;1.2678571428571428
48;44;1.0909090909090908
51;43;1.186046511627907
59;51;1.1568627450980393
55;45;1.2222222222222223
70;60;1.1666666666666667
62;53;1.169811320754717
60;53;1.1320754716981132
50;44;1.1363636363636365
78;67;1.164179104477612
52;47;1.1063829787234043
62;50;1.24
75;65;1.1538461538461537
46;40;1.15
71;58;1.2241379310344827
42;37;1.135135135135135
81;59;1.3728813559322033
35;29;1.206896551724138
64;54;1.1851851851851851
59;53;1.1132075471698113
52;46;1.1304347826086956
