online;opt;konk
50;45;1.1111111111111112
65;54;1.2037037037037037
50;45;1.1111111111111112
62;55;1.1272727272727272
47;42;1.119047619047619
53;48;1.1041666666666667
59;52;1.1346153846153846
54;49;1.1020408163265305
49;46;1.065217391304348
54;47;1.148936170212766
58;51;1.1372549019607843
71;59;1.2033898305084745
49;44;1.1136363636363635
60;53;1.1320754716981132
43;39;1.1025641025641026
64;54;1.1851851851851851
67;58;1.1551724137931034
49;45;1.0888888888888888
54;50;1.08
58;51;1.1372549019607843
50;45;1.1111111111111112
53;49;1.0816326530612246
50;43;1.1627906976744187
57;50;1.14
52;47;1.1063829787234043
56;50;1.12
60;51;1.1764705882352942
59;51;1.1568627450980393
65;57;1.1403508771929824
47;42;1.119047619047619
62;52;1.1923076923076923
59;52;1.1346153846153846
67;56;1.1964285714285714
59;54;1.0925925925925926
62;53;1.169811320754717
52;48;1.0833333333333333
61;55;1.1090909090909091
48;43;1.1162790697674418
59;51;1.1568627450980393
54;47;1.148936170212766
75;63;1.1904761904761905
56;52;1.0769230769230769
62;55;1.1272727272727272
52;48;1.0833333333333333
54;49;1.1020408163265305
56;51;1.0980392156862746
52;47;1.1063829787234043
64;58;1.103448275862069
47;45;1.0444444444444445
47;44;1.0681818181818181
60;54;1.1111111111111112
58;54;1.0740740740740742
49;44;1.1136363636363635
47;42;1.119047619047619
55;49;1.1224489795918366
63;53;1.1886792452830188
55;48;1.1458333333333333
59;52;1.1346153846153846
49;44;1.1136363636363635
66;57;1.1578947368421053
63;56;1.125
56;50;1.12
63;53;1.1886792452830188
63;53;1.1886792452830188
63;56;1.125
59;54;1.0925925925925926
59;54;1.0925925925925926
59;52;1.1346153846153846
57;52;1.0961538461538463
47;45;1.0444444444444445
57;51;1.1176470588235294
61;52;1.1730769230769231
55;49;1.1224489795918366
48;46;1.0434782608695652
43;41;1.048780487804878
50;46;1.0869565217391304
61;54;1.1296296296296295
64;58;1.103448275862069
54;49;1.1020408163265305
51;46;1.108695652173913
59;49;1.2040816326530612
65;56;1.1607142857142858
54;50;1.08
47;42;1.119047619047619
43;41;1.048780487804878
52;45;1.1555555555555554
53;48;1.1041666666666667
56;52;1.0769230769230769
69;60;1.15
57;52;1.0961538461538463
54;49;1.1020408163265305
54;48;1.125
53;48;1.1041666666666667
57;48;1.1875
53;49;1.0816326530612246
58;51;1.1372549019607843
68;57;1.1929824561403508
46;42;1.0952380952380953
56;51;1.0980392156862746
61;53;1.150943396226415
67;57;1.1754385964912282
61;51;1.196078431372549
53;48;1.1041666666666667
60;52;1.1538461538461537
68;58;1.1724137931034482
58;53;1.0943396226415094
62;51;1.2156862745098038
58;51;1.1372549019607843
67;57;1.1754385964912282
66;55;1.2
57;50;1.14
57;52;1.0961538461538463
49;44;1.1136363636363635
58;52;1.1153846153846154
60;51;1.1764705882352942
59;51;1.1568627450980393
54;45;1.2
46;43;1.069767441860465
52;45;1.1555555555555554
47;43;1.0930232558139534
58;50;1.16
64;56;1.1428571428571428
60;56;1.0714285714285714
54;48;1.125
59;49;1.2040816326530612
56;52;1.0769230769230769
62;54;1.1481481481481481
56;51;1.0980392156862746
53;47;1.127659574468085
66;59;1.11864406779661
54;48;1.125
51;44;1.1590909090909092
58;48;1.2083333333333333
60;52;1.1538461538461537
63;56;1.125
63;53;1.1886792452830188
46;40;1.15
52;47;1.1063829787234043
64;56;1.1428571428571428
46;41;1.1219512195121952
