online;opt;konk
48;46;1.0434782608695652
67;54;1.2407407407407407
54;46;1.173913043478261
50;44;1.1363636363636365
66;58;1.1379310344827587
57;52;1.0961538461538463
43;40;1.075
63;55;1.1454545454545455
60;50;1.2
45;39;1.1538461538461537
58;50;1.16
58;47;1.2340425531914894
40;37;1.0810810810810811
72;63;1.1428571428571428
62;50;1.24
46;42;1.0952380952380953
53;45;1.1777777777777778
66;56;1.1785714285714286
48;44;1.0909090909090908
66;59;1.11864406779661
60;53;1.1320754716981132
49;45;1.0888888888888888
60;52;1.1538461538461537
77;57;1.3508771929824561
52;47;1.1063829787234043
69;58;1.1896551724137931
60;49;1.2244897959183674
49;44;1.1136363636363635
44;37;1.1891891891891893
56;45;1.2444444444444445
53;47;1.127659574468085
65;58;1.1206896551724137
55;49;1.1224489795918366
55;49;1.1224489795918366
63;52;1.2115384615384615
83;62;1.3387096774193548
58;52;1.1153846153846154
55;49;1.1224489795918366
56;46;1.2173913043478262
61;51;1.196078431372549
53;47;1.127659574468085
55;48;1.1458333333333333
63;56;1.125
61;53;1.150943396226415
50;46;1.0869565217391304
45;39;1.1538461538461537
49;44;1.1136363636363635
67;57;1.1754385964912282
60;54;1.1111111111111112
72;56;1.2857142857142858
58;50;1.16
66;55;1.2
48;42;1.1428571428571428
58;51;1.1372549019607843
51;47;1.0851063829787233
51;48;1.0625
63;53;1.1886792452830188
71;62;1.1451612903225807
58;53;1.0943396226415094
58;50;1.16
56;50;1.12
49;44;1.1136363636363635
64;52;1.2307692307692308
70;61;1.1475409836065573
59;53;1.1132075471698113
54;48;1.125
64;53;1.2075471698113207
58;52;1.1153846153846154
82;72;1.1388888888888888
52;46;1.1304347826086956
59;51;1.1568627450980393
66;57;1.1578947368421053
63;52;1.2115384615384615
46;41;1.1219512195121952
64;55;1.1636363636363636
51;44;1.1590909090909092
40;37;1.0810810810810811
51;44;1.1590909090909092
64;55;1.1636363636363636
42;40;1.05
52;48;1.0833333333333333
54;48;1.125
72;61;1.180327868852459
61;53;1.150943396226415
68;57;1.1929824561403508
49;44;1.1136363636363635
69;62;1.1129032258064515
57;51;1.1176470588235294
47;39;1.205128205128205
56;48;1.1666666666666667
55;48;1.1458333333333333
58;49;1.183673469387755
50;45;1.1111111111111112
62;53;1.169811320754717
49;46;1.065217391304348
67;60;1.1166666666666667
58;55;1.0545454545454545
65;59;1.1016949152542372
51;49;1.0408163265306123
62;51;1.2156862745098038
39;35;1.1142857142857143
58;49;1.183673469387755
46;44;1.0454545454545454
68;54;1.2592592592592593
47;44;1.0681818181818181
51;45;1.1333333333333333
62;49;1.2653061224489797
66;50;1.32
52;46;1.1304347826086956
46;41;1.1219512195121952
72;66;1.0909090909090908
42;37;1.135135135135135
41;36;1.1388888888888888
67;53;1.2641509433962264
72;61;1.180327868852459
83;64;1.296875
53;47;1.127659574468085
58;52;1.1153846153846154
56;49;1.1428571428571428
62;57;1.087719298245614
48;45;1.0666666666666667
73;60;1.2166666666666666
56;48;1.1666666666666667
71;58;1.2241379310344827
57;50;1.14
64;57;1.1228070175438596
56;48;1.1666666666666667
47;43;1.0930232558139534
59;53;1.1132075471698113
55;48;1.1458333333333333
61;53;1.150943396226415
49;44;1.1136363636363635
52;46;1.1304347826086956
64;54;1.1851851851851851
62;56;1.1071428571428572
49;46;1.065217391304348
76;65;1.1692307692307693
58;51;1.1372549019607843
76;64;1.1875
63;54;1.1666666666666667
50;48;1.0416666666666667
63;59;1.0677966101694916
34;31;1.096774193548387
45;41;1.0975609756097562
61;53;1.150943396226415
47;42;1.119047619047619
49;45;1.0888888888888888
55;46;1.1956521739130435
55;48;1.1458333333333333
55;45;1.2222222222222223
73;60;1.2166666666666666
55;51;1.0784313725490196
72;61;1.180327868852459
74;61;1.2131147540983607
59;51;1.1568627450980393
63;51;1.2352941176470589
68;58;1.1724137931034482
57;47;1.2127659574468086
67;53;1.2641509433962264
44;40;1.1
66;54;1.2222222222222223
63;51;1.2352941176470589
55;47;1.1702127659574468
56;49;1.1428571428571428
53;44;1.2045454545454546
62;51;1.2156862745098038
67;55;1.2181818181818183
56;48;1.1666666666666667
62;56;1.1071428571428572
72;60;1.2
62;55;1.1272727272727272
49;45;1.0888888888888888
43;38;1.131578947368421
54;48;1.125
62;51;1.2156862745098038
74;63;1.1746031746031746
67;58;1.1551724137931034
71;59;1.2033898305084745
74;55;1.3454545454545455
