online;opt;konk
65;52;1.25
36;34;1.0588235294117647
52;46;1.1304347826086956
62;54;1.1481481481481481
70;62;1.1290322580645162
56;54;1.037037037037037
54;48;1.125
65;55;1.1818181818181819
47;43;1.0930232558139534
74;61;1.2131147540983607
66;56;1.1785714285714286
49;44;1.1136363636363635
59;47;1.2553191489361701
57;50;1.14
70;53;1.320754716981132
48;44;1.0909090909090908
60;49;1.2244897959183674
60;52;1.1538461538461537
45;37;1.2162162162162162
70;56;1.25
72;61;1.180327868852459
65;54;1.2037037037037037
73;55;1.3272727272727274
63;56;1.125
47;41;1.146341463414634
46;40;1.15
52;46;1.1304347826086956
77;61;1.2622950819672132
79;64;1.234375
60;45;1.3333333333333333
41;37;1.1081081081081081
59;52;1.1346153846153846
57;50;1.14
51;46;1.108695652173913
42;35;1.2
59;50;1.18
51;46;1.108695652173913
53;44;1.2045454545454546
60;53;1.1320754716981132
57;41;1.3902439024390243
55;43;1.2790697674418605
64;50;1.28
49;43;1.1395348837209303
81;67;1.208955223880597
67;57;1.1754385964912282
64;59;1.0847457627118644
38;35;1.0857142857142856
56;50;1.12
64;47;1.3617021276595744
65;57;1.1403508771929824
70;57;1.2280701754385965
62;51;1.2156862745098038
42;37;1.135135135135135
57;48;1.1875
67;54;1.2407407407407407
64;55;1.1636363636363636
81;61;1.3278688524590163
50;44;1.1363636363636365
69;57;1.2105263157894737
76;61;1.2459016393442623
75;60;1.25
68;58;1.1724137931034482
48;44;1.0909090909090908
59;54;1.0925925925925926
71;54;1.3148148148148149
54;49;1.1020408163265305
46;41;1.1219512195121952
45;42;1.0714285714285714
37;35;1.0571428571428572
47;40;1.175
37;34;1.088235294117647
56;50;1.12
71;60;1.1833333333333333
64;53;1.2075471698113207
66;53;1.2452830188679245
56;52;1.0769230769230769
47;38;1.236842105263158
66;55;1.2
60;49;1.2244897959183674
62;53;1.169811320754717
65;53;1.2264150943396226
64;57;1.1228070175438596
64;57;1.1228070175438596
62;53;1.169811320754717
65;50;1.3
57;54;1.0555555555555556
67;57;1.1754385964912282
45;40;1.125
69;57;1.2105263157894737
50;48;1.0416666666666667
69;60;1.15
59;50;1.18
54;44;1.2272727272727273
74;62;1.1935483870967742
61;48;1.2708333333333333
82;68;1.2058823529411764
56;49;1.1428571428571428
52;47;1.1063829787234043
73;61;1.1967213114754098
76;67;1.1343283582089552
46;39;1.1794871794871795
58;54;1.0740740740740742
44;40;1.1
44;41;1.0731707317073171
53;46;1.1521739130434783
58;52;1.1153846153846154
56;50;1.12
47;42;1.119047619047619
51;45;1.1333333333333333
56;47;1.1914893617021276
64;53;1.2075471698113207
55;46;1.1956521739130435
52;46;1.1304347826086956
43;39;1.1025641025641026
58;49;1.183673469387755
48;43;1.1162790697674418
55;48;1.1458333333333333
49;44;1.1136363636363635
65;56;1.1607142857142858
45;41;1.0975609756097562
38;32;1.1875
54;44;1.2272727272727273
53;48;1.1041666666666667
60;52;1.1538461538461537
63;51;1.2352941176470589
63;54;1.1666666666666667
57;51;1.1176470588235294
67;55;1.2181818181818183
61;53;1.150943396226415
58;46;1.2608695652173914
59;49;1.2040816326530612
74;60;1.2333333333333334
53;45;1.1777777777777778
53;45;1.1777777777777778
72;58;1.2413793103448276
72;59;1.2203389830508475
49;46;1.065217391304348
48;45;1.0666666666666667
55;46;1.1956521739130435
78;63;1.2380952380952381
67;58;1.1551724137931034
58;50;1.16
36;34;1.0588235294117647
67;61;1.098360655737705
69;59;1.1694915254237288
44;40;1.1
58;44;1.3181818181818181
36;34;1.0588235294117647
