online;opt;konk
60;54;1.1111111111111112
51;45;1.1333333333333333
59;52;1.1346153846153846
58;50;1.16
46;42;1.0952380952380953
49;44;1.1136363636363635
60;54;1.1111111111111112
53;48;1.1041666666666667
57;48;1.1875
64;53;1.2075471698113207
66;59;1.11864406779661
58;53;1.0943396226415094
63;53;1.1886792452830188
65;58;1.1206896551724137
53;49;1.0816326530612246
53;47;1.127659574468085
60;52;1.1538461538461537
65;57;1.1403508771929824
60;55;1.0909090909090908
62;54;1.1481481481481481
40;37;1.0810810810810811
51;46;1.108695652173913
54;51;1.0588235294117647
53;47;1.127659574468085
73;60;1.2166666666666666
54;45;1.2
50;46;1.0869565217391304
66;55;1.2
49;45;1.0888888888888888
62;54;1.1481481481481481
70;58;1.206896551724138
60;54;1.1111111111111112
58;52;1.1153846153846154
45;42;1.0714285714285714
75;60;1.25
50;45;1.1111111111111112
50;45;1.1111111111111112
68;58;1.1724137931034482
42;39;1.0769230769230769
60;52;1.1538461538461537
51;44;1.1590909090909092
56;50;1.12
49;45;1.0888888888888888
53;47;1.127659574468085
44;40;1.1
55;48;1.1458333333333333
51;44;1.1590909090909092
50;47;1.0638297872340425
62;54;1.1481481481481481
57;49;1.163265306122449
80;66;1.2121212121212122
66;55;1.2
57;49;1.163265306122449
63;52;1.2115384615384615
52;47;1.1063829787234043
58;49;1.183673469387755
59;53;1.1132075471698113
60;55;1.0909090909090908
60;52;1.1538461538461537
62;53;1.169811320754717
46;43;1.069767441860465
68;59;1.152542372881356
72;58;1.2413793103448276
58;51;1.1372549019607843
64;55;1.1636363636363636
61;53;1.150943396226415
67;55;1.2181818181818183
50;42;1.1904761904761905
71;60;1.1833333333333333
52;45;1.1555555555555554
64;56;1.1428571428571428
52;49;1.0612244897959184
55;50;1.1
68;60;1.1333333333333333
56;50;1.12
68;61;1.1147540983606556
46;42;1.0952380952380953
57;50;1.14
52;48;1.0833333333333333
55;47;1.1702127659574468
44;41;1.0731707317073171
58;51;1.1372549019607843
55;49;1.1224489795918366
61;56;1.0892857142857142
58;50;1.16
56;52;1.0769230769230769
55;49;1.1224489795918366
83;67;1.2388059701492538
58;54;1.0740740740740742
66;58;1.1379310344827587
61;53;1.150943396226415
50;46;1.0869565217391304
66;60;1.1
48;43;1.1162790697674418
56;51;1.0980392156862746
56;52;1.0769230769230769
50;46;1.0869565217391304
53;44;1.2045454545454546
53;47;1.127659574468085
62;54;1.1481481481481481
57;50;1.14
61;52;1.1730769230769231
67;59;1.1355932203389831
40;37;1.0810810810810811
56;51;1.0980392156862746
49;46;1.065217391304348
69;58;1.1896551724137931
43;39;1.1025641025641026
53;48;1.1041666666666667
55;49;1.1224489795918366
69;55;1.2545454545454546
52;47;1.1063829787234043
67;58;1.1551724137931034
68;61;1.1147540983606556
55;48;1.1458333333333333
54;48;1.125
56;52;1.0769230769230769
74;62;1.1935483870967742
54;49;1.1020408163265305
49;44;1.1136363636363635
61;52;1.1730769230769231
58;52;1.1153846153846154
60;51;1.1764705882352942
53;47;1.127659574468085
63;57;1.105263157894737
46;43;1.069767441860465
52;47;1.1063829787234043
45;41;1.0975609756097562
61;53;1.150943396226415
59;50;1.18
69;61;1.1311475409836065
47;41;1.146341463414634
44;41;1.0731707317073171
59;54;1.0925925925925926
