online;opt;konk
65;52;1.25
49;45;1.0888888888888888
52;47;1.1063829787234043
46;42;1.0952380952380953
67;58;1.1551724137931034
51;45;1.1333333333333333
63;55;1.1454545454545455
66;55;1.2
63;53;1.1886792452830188
56;50;1.12
52;47;1.1063829787234043
67;52;1.2884615384615385
60;51;1.1764705882352942
63;56;1.125
51;45;1.1333333333333333
67;59;1.1355932203389831
61;52;1.1730769230769231
67;61;1.098360655737705
71;63;1.126984126984127
61;54;1.1296296296296295
63;55;1.1454545454545455
66;56;1.1785714285714286
51;46;1.108695652173913
57;48;1.1875
67;57;1.1754385964912282
66;53;1.2452830188679245
57;49;1.163265306122449
53;46;1.1521739130434783
63;53;1.1886792452830188
55;49;1.1224489795918366
65;57;1.1403508771929824
47;41;1.146341463414634
59;53;1.1132075471698113
72;58;1.2413793103448276
68;61;1.1147540983606556
53;50;1.06
58;52;1.1153846153846154
47;43;1.0930232558139534
63;58;1.0862068965517242
63;52;1.2115384615384615
57;50;1.14
54;49;1.1020408163265305
62;55;1.1272727272727272
46;42;1.0952380952380953
56;51;1.0980392156862746
58;51;1.1372549019607843
68;57;1.1929824561403508
61;52;1.1730769230769231
59;50;1.18
47;44;1.0681818181818181
59;49;1.2040816326530612
60;52;1.1538461538461537
53;45;1.1777777777777778
45;42;1.0714285714285714
42;39;1.0769230769230769
47;42;1.119047619047619
56;47;1.1914893617021276
54;50;1.08
51;44;1.1590909090909092
45;42;1.0714285714285714
64;57;1.1228070175438596
60;51;1.1764705882352942
60;53;1.1320754716981132
57;49;1.163265306122449
56;49;1.1428571428571428
66;57;1.1578947368421053
57;51;1.1176470588235294
59;51;1.1568627450980393
52;46;1.1304347826086956
49;45;1.0888888888888888
56;51;1.0980392156862746
48;46;1.0434782608695652
49;46;1.065217391304348
56;48;1.1666666666666667
51;47;1.0851063829787233
64;57;1.1228070175438596
66;57;1.1578947368421053
57;49;1.163265306122449
46;43;1.069767441860465
51;45;1.1333333333333333
56;50;1.12
59;52;1.1346153846153846
55;46;1.1956521739130435
60;54;1.1111111111111112
49;44;1.1136363636363635
51;46;1.108695652173913
59;50;1.18
47;44;1.0681818181818181
57;49;1.163265306122449
59;51;1.1568627450980393
60;54;1.1111111111111112
68;61;1.1147540983606556
50;46;1.0869565217391304
56;51;1.0980392156862746
57;50;1.14
51;45;1.1333333333333333
63;54;1.1666666666666667
52;46;1.1304347826086956
48;42;1.1428571428571428
52;44;1.1818181818181819
51;45;1.1333333333333333
60;56;1.0714285714285714
59;52;1.1346153846153846
53;48;1.1041666666666667
47;43;1.0930232558139534
59;52;1.1346153846153846
48;44;1.0909090909090908
54;49;1.1020408163265305
49;44;1.1136363636363635
62;50;1.24
43;39;1.1025641025641026
54;46;1.173913043478261
60;52;1.1538461538461537
46;42;1.0952380952380953
59;52;1.1346153846153846
49;45;1.0888888888888888
55;50;1.1
66;55;1.2
70;60;1.1666666666666667
53;49;1.0816326530612246
55;50;1.1
58;53;1.0943396226415094
49;45;1.0888888888888888
68;60;1.1333333333333333
72;64;1.125
64;53;1.2075471698113207
60;54;1.1111111111111112
60;52;1.1538461538461537
55;49;1.1224489795918366
59;48;1.2291666666666667
55;47;1.1702127659574468
61;54;1.1296296296296295
54;48;1.125
62;53;1.169811320754717
64;58;1.103448275862069
46;43;1.069767441860465
66;58;1.1379310344827587
62;54;1.1481481481481481
49;42;1.1666666666666667
56;52;1.0769230769230769
61;54;1.1296296296296295
62;57;1.087719298245614
58;51;1.1372549019607843
54;48;1.125
56;48;1.1666666666666667
67;55;1.2181818181818183
52;46;1.1304347826086956
64;56;1.1428571428571428
52;46;1.1304347826086956
59;52;1.1346153846153846
72;62;1.1612903225806452
66;55;1.2
59;52;1.1346153846153846
66;55;1.2
50;44;1.1363636363636365
51;47;1.0851063829787233
53;46;1.1521739130434783
57;51;1.1176470588235294
56;46;1.2173913043478262
52;46;1.1304347826086956
51;46;1.108695652173913
63;57;1.105263157894737
60;51;1.1764705882352942
51;47;1.0851063829787233
49;45;1.0888888888888888
52;47;1.1063829787234043
59;51;1.1568627450980393
62;58;1.0689655172413792
55;49;1.1224489795918366
57;49;1.163265306122449
60;51;1.1764705882352942
53;49;1.0816326530612246
54;50;1.08
54;49;1.1020408163265305
61;51;1.196078431372549
60;53;1.1320754716981132
51;46;1.108695652173913
57;50;1.14
56;48;1.1666666666666667
60;55;1.0909090909090908
67;56;1.1964285714285714
59;52;1.1346153846153846
51;45;1.1333333333333333
73;60;1.2166666666666666
56;50;1.12
64;51;1.2549019607843137
59;53;1.1132075471698113
59;52;1.1346153846153846
40;36;1.1111111111111112
68;55;1.2363636363636363
60;54;1.1111111111111112
62;56;1.1071428571428572
54;49;1.1020408163265305
48;44;1.0909090909090908
52;48;1.0833333333333333
75;62;1.2096774193548387
57;51;1.1176470588235294
58;51;1.1372549019607843
55;50;1.1
61;50;1.22
59;52;1.1346153846153846
52;48;1.0833333333333333
61;51;1.196078431372549
58;50;1.16
61;53;1.150943396226415
53;50;1.06
62;55;1.1272727272727272
55;48;1.1458333333333333
47;44;1.0681818181818181
62;56;1.1071428571428572
60;50;1.2
59;50;1.18
66;57;1.1578947368421053
54;49;1.1020408163265305
58;51;1.1372549019607843
53;49;1.0816326530612246
52;47;1.1063829787234043
47;44;1.0681818181818181
65;56;1.1607142857142858
69;58;1.1896551724137931
62;54;1.1481481481481481
69;58;1.1896551724137931
56;49;1.1428571428571428
46;42;1.0952380952380953
54;47;1.148936170212766
55;50;1.1
55;48;1.1458333333333333
58;52;1.1153846153846154
63;51;1.2352941176470589
53;46;1.1521739130434783
51;45;1.1333333333333333
58;53;1.0943396226415094
54;48;1.125
47;43;1.0930232558139534
55;44;1.25
66;57;1.1578947368421053
72;63;1.1428571428571428
60;52;1.1538461538461537
56;50;1.12
51;45;1.1333333333333333
62;55;1.1272727272727272
51;46;1.108695652173913
58;53;1.0943396226415094
61;54;1.1296296296296295
64;54;1.1851851851851851
57;53;1.0754716981132075
61;57;1.0701754385964912
56;53;1.0566037735849056
66;57;1.1578947368421053
59;55;1.0727272727272728
54;48;1.125
56;49;1.1428571428571428
65;53;1.2264150943396226
64;57;1.1228070175438596
57;50;1.14
55;49;1.1224489795918366
55;49;1.1224489795918366
72;62;1.1612903225806452
61;55;1.1090909090909091
55;50;1.1
59;52;1.1346153846153846
58;53;1.0943396226415094
61;52;1.1730769230769231
48;45;1.0666666666666667
59;53;1.1132075471698113
58;52;1.1153846153846154
50;45;1.1111111111111112
52;43;1.2093023255813953
68;56;1.2142857142857142
53;49;1.0816326530612246
65;56;1.1607142857142858
62;54;1.1481481481481481
61;54;1.1296296296296295
57;50;1.14
56;49;1.1428571428571428
60;52;1.1538461538461537
69;57;1.2105263157894737
54;46;1.173913043478261
48;44;1.0909090909090908
69;59;1.1694915254237288
51;45;1.1333333333333333
58;52;1.1153846153846154
61;51;1.196078431372549
57;49;1.163265306122449
51;46;1.108695652173913
59;54;1.0925925925925926
55;51;1.0784313725490196
72;58;1.2413793103448276
52;47;1.1063829787234043
51;47;1.0851063829787233
65;57;1.1403508771929824
61;55;1.1090909090909091
52;46;1.1304347826086956
62;52;1.1923076923076923
62;55;1.1272727272727272
48;44;1.0909090909090908
63;55;1.1454545454545455
48;46;1.0434782608695652
68;55;1.2363636363636363
55;50;1.1
61;54;1.1296296296296295
54;50;1.08
59;50;1.18
57;52;1.0961538461538463
40;38;1.0526315789473684
54;50;1.08
54;49;1.1020408163265305
66;57;1.1578947368421053
62;55;1.1272727272727272
52;47;1.1063829787234043
66;54;1.2222222222222223
58;53;1.0943396226415094
77;60;1.2833333333333334
69;57;1.2105263157894737
60;51;1.1764705882352942
55;50;1.1
61;56;1.0892857142857142
62;55;1.1272727272727272
54;48;1.125
77;65;1.1846153846153846
48;43;1.1162790697674418
55;49;1.1224489795918366
44;40;1.1
60;50;1.2
