online;opt;konk
65;54;1.2037037037037037
54;47;1.148936170212766
49;43;1.1395348837209303
47;44;1.0681818181818181
57;45;1.2666666666666666
58;49;1.183673469387755
65;56;1.1607142857142858
55;49;1.1224489795918366
58;53;1.0943396226415094
71;62;1.1451612903225807
45;38;1.1842105263157894
67;55;1.2181818181818183
61;55;1.1090909090909091
65;53;1.2264150943396226
60;51;1.1764705882352942
67;56;1.1964285714285714
59;53;1.1132075471698113
73;62;1.1774193548387097
61;55;1.1090909090909091
62;53;1.169811320754717
53;43;1.2325581395348837
50;46;1.0869565217391304
75;61;1.2295081967213115
62;56;1.1071428571428572
67;59;1.1355932203389831
53;48;1.1041666666666667
74;61;1.2131147540983607
62;51;1.2156862745098038
69;58;1.1896551724137931
58;50;1.16
55;43;1.2790697674418605
64;54;1.1851851851851851
55;49;1.1224489795918366
59;52;1.1346153846153846
66;58;1.1379310344827587
58;53;1.0943396226415094
60;51;1.1764705882352942
59;50;1.18
48;43;1.1162790697674418
61;52;1.1730769230769231
52;47;1.1063829787234043
57;49;1.163265306122449
50;44;1.1363636363636365
39;38;1.0263157894736843
44;40;1.1
67;54;1.2407407407407407
54;48;1.125
65;55;1.1818181818181819
58;48;1.2083333333333333
58;48;1.2083333333333333
75;62;1.2096774193548387
63;55;1.1454545454545455
52;48;1.0833333333333333
59;51;1.1568627450980393
45;42;1.0714285714285714
56;50;1.12
53;46;1.1521739130434783
46;44;1.0454545454545454
64;55;1.1636363636363636
67;56;1.1964285714285714
64;56;1.1428571428571428
64;50;1.28
55;48;1.1458333333333333
43;40;1.075
64;55;1.1636363636363636
45;41;1.0975609756097562
76;59;1.2881355932203389
39;37;1.054054054054054
43;38;1.131578947368421
53;48;1.1041666666666667
56;51;1.0980392156862746
59;52;1.1346153846153846
51;44;1.1590909090909092
69;61;1.1311475409836065
48;41;1.170731707317073
57;50;1.14
74;61;1.2131147540983607
52;49;1.0612244897959184
60;55;1.0909090909090908
53;47;1.127659574468085
55;48;1.1458333333333333
55;47;1.1702127659574468
60;51;1.1764705882352942
53;49;1.0816326530612246
51;47;1.0851063829787233
41;36;1.1388888888888888
61;53;1.150943396226415
69;61;1.1311475409836065
54;47;1.148936170212766
71;59;1.2033898305084745
62;53;1.169811320754717
44;38;1.1578947368421053
62;53;1.169811320754717
58;49;1.183673469387755
54;46;1.173913043478261
