online;opt;konk
63;58;1.0862068965517242
48;43;1.1162790697674418
65;52;1.25
63;52;1.2115384615384615
62;54;1.1481481481481481
51;44;1.1590909090909092
41;38;1.0789473684210527
49;45;1.0888888888888888
81;66;1.2272727272727273
65;59;1.1016949152542372
51;45;1.1333333333333333
50;44;1.1363636363636365
73;59;1.2372881355932204
52;44;1.1818181818181819
65;57;1.1403508771929824
69;62;1.1129032258064515
68;56;1.2142857142857142
76;63;1.2063492063492063
65;52;1.25
33;31;1.064516129032258
48;39;1.2307692307692308
48;45;1.0666666666666667
72;63;1.1428571428571428
75;63;1.1904761904761905
48;42;1.1428571428571428
63;51;1.2352941176470589
58;50;1.16
78;64;1.21875
80;65;1.2307692307692308
70;57;1.2280701754385965
61;54;1.1296296296296295
61;50;1.22
55;47;1.1702127659574468
52;45;1.1555555555555554
55;47;1.1702127659574468
53;45;1.1777777777777778
57;49;1.163265306122449
50;43;1.1627906976744187
55;49;1.1224489795918366
63;54;1.1666666666666667
46;41;1.1219512195121952
58;47;1.2340425531914894
38;35;1.0857142857142856
49;46;1.065217391304348
54;46;1.173913043478261
45;42;1.0714285714285714
60;55;1.0909090909090908
49;41;1.1951219512195121
54;48;1.125
62;57;1.087719298245614
47;42;1.119047619047619
45;39;1.1538461538461537
59;50;1.18
62;53;1.169811320754717
66;57;1.1578947368421053
68;61;1.1147540983606556
60;48;1.25
74;59;1.2542372881355932
56;51;1.0980392156862746
69;58;1.1896551724137931
52;46;1.1304347826086956
63;51;1.2352941176470589
68;52;1.3076923076923077
62;52;1.1923076923076923
34;31;1.096774193548387
47;44;1.0681818181818181
51;43;1.186046511627907
57;50;1.14
58;51;1.1372549019607843
74;63;1.1746031746031746
62;54;1.1481481481481481
66;58;1.1379310344827587
55;45;1.2222222222222223
74;63;1.1746031746031746
89;75;1.1866666666666668
54;48;1.125
77;59;1.305084745762712
40;36;1.1111111111111112
69;62;1.1129032258064515
45;41;1.0975609756097562
45;41;1.0975609756097562
48;45;1.0666666666666667
69;57;1.2105263157894737
47;42;1.119047619047619
77;59;1.305084745762712
51;48;1.0625
53;48;1.1041666666666667
40;39;1.0256410256410255
65;52;1.25
68;55;1.2363636363636363
65;56;1.1607142857142858
67;59;1.1355932203389831
36;34;1.0588235294117647
71;61;1.1639344262295082
81;65;1.2461538461538462
49;44;1.1136363636363635
61;52;1.1730769230769231
61;55;1.1090909090909091
61;55;1.1090909090909091
63;56;1.125
47;40;1.175
68;58;1.1724137931034482
63;51;1.2352941176470589
59;48;1.2291666666666667
49;46;1.065217391304348
75;57;1.3157894736842106
59;51;1.1568627450980393
44;41;1.0731707317073171
63;53;1.1886792452830188
67;54;1.2407407407407407
56;45;1.2444444444444445
78;62;1.2580645161290323
43;40;1.075
63;57;1.105263157894737
56;50;1.12
78;67;1.164179104477612
78;64;1.21875
71;60;1.1833333333333333
67;54;1.2407407407407407
58;50;1.16
58;50;1.16
52;47;1.1063829787234043
68;59;1.152542372881356
60;50;1.2
65;54;1.2037037037037037
51;44;1.1590909090909092
50;42;1.1904761904761905
48;43;1.1162790697674418
63;53;1.1886792452830188
75;61;1.2295081967213115
61;50;1.22
65;54;1.2037037037037037
65;47;1.3829787234042554
58;51;1.1372549019607843
61;53;1.150943396226415
38;34;1.1176470588235294
59;53;1.1132075471698113
61;50;1.22
75;60;1.25
59;52;1.1346153846153846
64;56;1.1428571428571428
45;39;1.1538461538461537
71;65;1.0923076923076922
43;39;1.1025641025641026
49;44;1.1136363636363635
58;48;1.2083333333333333
79;64;1.234375
53;51;1.0392156862745099
58;52;1.1153846153846154
48;43;1.1162790697674418
52;43;1.2093023255813953
51;47;1.0851063829787233
50;46;1.0869565217391304
66;57;1.1578947368421053
51;38;1.3421052631578947
84;63;1.3333333333333333
35;34;1.0294117647058822
57;52;1.0961538461538463
58;48;1.2083333333333333
63;51;1.2352941176470589
67;62;1.0806451612903225
63;53;1.1886792452830188
69;58;1.1896551724137931
66;54;1.2222222222222223
71;61;1.1639344262295082
86;73;1.178082191780822
62;55;1.1272727272727272
58;50;1.16
46;40;1.15
72;58;1.2413793103448276
48;41;1.170731707317073
61;51;1.196078431372549
60;54;1.1111111111111112
53;47;1.127659574468085
41;39;1.0512820512820513
70;60;1.1666666666666667
57;48;1.1875
66;50;1.32
67;56;1.1964285714285714
50;44;1.1363636363636365
53;43;1.2325581395348837
46;41;1.1219512195121952
61;54;1.1296296296296295
60;52;1.1538461538461537
57;50;1.14
71;60;1.1833333333333333
71;58;1.2241379310344827
47;39;1.205128205128205
51;45;1.1333333333333333
78;68;1.1470588235294117
66;55;1.2
43;38;1.131578947368421
78;64;1.21875
68;56;1.2142857142857142
70;58;1.206896551724138
58;48;1.2083333333333333
53;49;1.0816326530612246
66;55;1.2
