online;opt;konk
69;53;1.3018867924528301
57;47;1.2127659574468086
69;51;1.3529411764705883
59;48;1.2291666666666667
67;53;1.2641509433962264
70;57;1.2280701754385965
60;48;1.25
61;48;1.2708333333333333
68;49;1.3877551020408163
68;51;1.3333333333333333
74;55;1.3454545454545455
68;52;1.3076923076923077
74;53;1.3962264150943395
63;48;1.3125
65;51;1.2745098039215685
56;44;1.2727272727272727
81;63;1.2857142857142858
77;59;1.305084745762712
58;45;1.288888888888889
62;47;1.3191489361702127
68;51;1.3333333333333333
65;53;1.2264150943396226
65;52;1.25
71;54;1.3148148148148149
64;50;1.28
66;47;1.4042553191489362
77;57;1.3508771929824561
78;57;1.368421052631579
78;63;1.2380952380952381
72;57;1.263157894736842
55;43;1.2790697674418605
43;34;1.2647058823529411
61;44;1.3863636363636365
69;53;1.3018867924528301
71;56;1.2678571428571428
59;47;1.2553191489361701
56;44;1.2727272727272727
78;60;1.3
62;48;1.2916666666666667
61;46;1.326086956521739
76;61;1.2459016393442623
67;52;1.2884615384615385
76;61;1.2459016393442623
69;55;1.2545454545454546
64;49;1.3061224489795917
67;53;1.2641509433962264
59;47;1.2553191489361701
73;60;1.2166666666666666
62;49;1.2653061224489797
78;59;1.3220338983050848
59;46;1.2826086956521738
53;43;1.2325581395348837
58;43;1.3488372093023255
72;56;1.2857142857142858
66;53;1.2452830188679245
69;52;1.3269230769230769
73;56;1.3035714285714286
62;48;1.2916666666666667
71;55;1.290909090909091
65;52;1.25
70;56;1.25
57;47;1.2127659574468086
61;48;1.2708333333333333
66;52;1.2692307692307692
72;54;1.3333333333333333
80;59;1.3559322033898304
59;46;1.2826086956521738
57;42;1.3571428571428572
65;50;1.3
65;50;1.3
70;55;1.2727272727272727
74;57;1.2982456140350878
59;43;1.372093023255814
62;49;1.2653061224489797
59;46;1.2826086956521738
70;54;1.2962962962962963
74;57;1.2982456140350878
63;49;1.2857142857142858
64;51;1.2549019607843137
62;50;1.24
48;37;1.2972972972972974
65;50;1.3
69;56;1.2321428571428572
69;53;1.3018867924528301
71;55;1.290909090909091
51;37;1.3783783783783783
73;53;1.3773584905660377
70;51;1.3725490196078431
65;50;1.3
61;50;1.22
69;54;1.2777777777777777
69;53;1.3018867924528301
66;53;1.2452830188679245
87;63;1.380952380952381
66;51;1.2941176470588236
58;45;1.288888888888889
59;46;1.2826086956521738
70;53;1.320754716981132
50;40;1.25
61;46;1.326086956521739
50;38;1.3157894736842106
66;54;1.2222222222222223
69;53;1.3018867924528301
80;62;1.2903225806451613
72;56;1.2857142857142858
61;47;1.297872340425532
67;51;1.3137254901960784
57;43;1.3255813953488371
69;54;1.2777777777777777
68;50;1.36
70;53;1.320754716981132
68;52;1.3076923076923077
68;55;1.2363636363636363
75;59;1.271186440677966
61;50;1.22
57;45;1.2666666666666666
70;55;1.2727272727272727
59;47;1.2553191489361701
47;37;1.2702702702702702
62;47;1.3191489361702127
80;61;1.3114754098360655
57;43;1.3255813953488371
68;54;1.2592592592592593
61;48;1.2708333333333333
63;49;1.2857142857142858
76;60;1.2666666666666666
74;58;1.2758620689655173
76;59;1.2881355932203389
64;47;1.3617021276595744
65;50;1.3
65;49;1.3265306122448979
70;56;1.25
61;47;1.297872340425532
64;45;1.4222222222222223
63;48;1.3125
70;57;1.2280701754385965
57;43;1.3255813953488371
58;46;1.2608695652173914
68;54;1.2592592592592593
58;46;1.2608695652173914
62;46;1.3478260869565217
66;51;1.2941176470588236
70;54;1.2962962962962963
55;43;1.2790697674418605
67;53;1.2641509433962264
62;47;1.3191489361702127
56;42;1.3333333333333333
72;52;1.3846153846153846
63;49;1.2857142857142858
54;45;1.2
67;55;1.2181818181818183
54;40;1.35
57;45;1.2666666666666666
64;49;1.3061224489795917
80;59;1.3559322033898304
61;47;1.297872340425532
