online;opt;konk
68;54;1.2592592592592593
79;60;1.3166666666666667
68;54;1.2592592592592593
62;49;1.2653061224489797
68;53;1.2830188679245282
74;55;1.3454545454545455
66;51;1.2941176470588236
61;48;1.2708333333333333
61;48;1.2708333333333333
70;52;1.3461538461538463
74;57;1.2982456140350878
61;48;1.2708333333333333
65;50;1.3
65;49;1.3265306122448979
57;43;1.3255813953488371
66;49;1.346938775510204
66;52;1.2692307692307692
56;44;1.2727272727272727
64;49;1.3061224489795917
73;57;1.280701754385965
72;56;1.2857142857142858
57;46;1.2391304347826086
56;43;1.302325581395349
67;53;1.2641509433962264
65;50;1.3
58;44;1.3181818181818181
68;52;1.3076923076923077
54;44;1.2272727272727273
66;51;1.2941176470588236
67;53;1.2641509433962264
71;57;1.2456140350877194
62;47;1.3191489361702127
71;51;1.392156862745098
65;53;1.2264150943396226
79;60;1.3166666666666667
60;48;1.25
58;47;1.2340425531914894
69;52;1.3269230769230769
67;51;1.3137254901960784
66;47;1.4042553191489362
65;53;1.2264150943396226
61;46;1.326086956521739
57;46;1.2391304347826086
66;51;1.2941176470588236
66;51;1.2941176470588236
60;48;1.25
79;62;1.2741935483870968
74;54;1.3703703703703705
77;60;1.2833333333333334
58;46;1.2608695652173914
71;55;1.290909090909091
63;49;1.2857142857142858
69;50;1.38
69;55;1.2545454545454546
65;51;1.2745098039215685
50;39;1.2820512820512822
73;53;1.3773584905660377
68;52;1.3076923076923077
70;53;1.320754716981132
67;50;1.34
54;41;1.3170731707317074
61;49;1.2448979591836735
59;47;1.2553191489361701
64;51;1.2549019607843137
69;53;1.3018867924528301
63;44;1.4318181818181819
67;49;1.3673469387755102
58;45;1.288888888888889
70;55;1.2727272727272727
72;55;1.309090909090909
61;45;1.3555555555555556
57;42;1.3571428571428572
65;48;1.3541666666666667
77;59;1.305084745762712
72;58;1.2413793103448276
66;54;1.2222222222222223
61;46;1.326086956521739
64;46;1.391304347826087
51;41;1.2439024390243902
60;45;1.3333333333333333
60;49;1.2244897959183674
65;50;1.3
65;49;1.3265306122448979
74;54;1.3703703703703705
74;56;1.3214285714285714
62;47;1.3191489361702127
53;40;1.325
72;57;1.263157894736842
77;60;1.2833333333333334
68;54;1.2592592592592593
73;55;1.3272727272727274
65;51;1.2745098039215685
64;49;1.3061224489795917
63;49;1.2857142857142858
74;54;1.3703703703703705
69;52;1.3269230769230769
76;59;1.2881355932203389
70;55;1.2727272727272727
69;52;1.3269230769230769
71;52;1.3653846153846154
60;47;1.2765957446808511
58;44;1.3181818181818181
67;51;1.3137254901960784
60;46;1.3043478260869565
50;36;1.3888888888888888
69;53;1.3018867924528301
62;48;1.2916666666666667
62;48;1.2916666666666667
68;55;1.2363636363636363
69;54;1.2777777777777777
68;52;1.3076923076923077
62;50;1.24
56;45;1.2444444444444445
54;41;1.3170731707317074
63;49;1.2857142857142858
66;49;1.346938775510204
64;49;1.3061224489795917
69;55;1.2545454545454546
64;49;1.3061224489795917
77;56;1.375
65;48;1.3541666666666667
77;60;1.2833333333333334
66;52;1.2692307692307692
64;47;1.3617021276595744
64;53;1.2075471698113207
61;48;1.2708333333333333
61;48;1.2708333333333333
70;54;1.2962962962962963
57;46;1.2391304347826086
70;54;1.2962962962962963
68;51;1.3333333333333333
61;48;1.2708333333333333
62;49;1.2653061224489797
74;54;1.3703703703703705
63;50;1.26
68;50;1.36
58;46;1.2608695652173914
66;52;1.2692307692307692
67;52;1.2884615384615385
66;53;1.2452830188679245
61;47;1.297872340425532
69;54;1.2777777777777777
53;41;1.2926829268292683
66;52;1.2692307692307692
68;55;1.2363636363636363
63;47;1.3404255319148937
70;54;1.2962962962962963
60;48;1.25
58;46;1.2608695652173914
67;51;1.3137254901960784
64;49;1.3061224489795917
64;50;1.28
65;49;1.3265306122448979
64;47;1.3617021276595744
62;46;1.3478260869565217
68;51;1.3333333333333333
60;49;1.2244897959183674
67;52;1.2884615384615385
74;55;1.3454545454545455
72;54;1.3333333333333333
62;45;1.3777777777777778
66;49;1.346938775510204
66;49;1.346938775510204
69;51;1.3529411764705883
59;45;1.3111111111111111
64;50;1.28
51;40;1.275
75;58;1.293103448275862
68;51;1.3333333333333333
68;53;1.2830188679245282
63;49;1.2857142857142858
65;52;1.25
65;51;1.2745098039215685
72;57;1.263157894736842
70;55;1.2727272727272727
54;41;1.3170731707317074
71;52;1.3653846153846154
69;55;1.2545454545454546
57;44;1.2954545454545454
67;54;1.2407407407407407
61;46;1.326086956521739
54;40;1.35
70;52;1.3461538461538463
69;52;1.3269230769230769
63;48;1.3125
74;58;1.2758620689655173
64;50;1.28
62;47;1.3191489361702127
55;42;1.3095238095238095
72;59;1.2203389830508475
58;47;1.2340425531914894
70;53;1.320754716981132
63;46;1.3695652173913044
67;55;1.2181818181818183
59;44;1.3409090909090908
57;45;1.2666666666666666
69;53;1.3018867924528301
57;42;1.3571428571428572
64;48;1.3333333333333333
66;50;1.32
69;51;1.3529411764705883
59;45;1.3111111111111111
70;55;1.2727272727272727
54;42;1.2857142857142858
67;52;1.2884615384615385
69;51;1.3529411764705883
59;47;1.2553191489361701
62;47;1.3191489361702127
63;48;1.3125
60;50;1.2
73;53;1.3773584905660377
74;59;1.2542372881355932
71;54;1.3148148148148149
64;49;1.3061224489795917
79;60;1.3166666666666667
71;57;1.2456140350877194
65;49;1.3265306122448979
73;53;1.3773584905660377
61;46;1.326086956521739
58;45;1.288888888888889
72;59;1.2203389830508475
56;45;1.2444444444444445
69;55;1.2545454545454546
62;48;1.2916666666666667
64;51;1.2549019607843137
73;57;1.280701754385965
67;52;1.2884615384615385
67;49;1.3673469387755102
61;50;1.22
74;56;1.3214285714285714
65;51;1.2745098039215685
56;45;1.2444444444444445
64;49;1.3061224489795917
73;54;1.3518518518518519
68;55;1.2363636363636363
70;53;1.320754716981132
58;45;1.288888888888889
65;46;1.4130434782608696
69;51;1.3529411764705883
63;50;1.26
69;50;1.38
67;54;1.2407407407407407
62;46;1.3478260869565217
68;52;1.3076923076923077
67;51;1.3137254901960784
