online;opt;konk
68;54;1.2592592592592593
68;50;1.36
64;51;1.2549019607843137
58;46;1.2608695652173914
79;59;1.3389830508474576
69;54;1.2777777777777777
70;55;1.2727272727272727
59;48;1.2291666666666667
62;49;1.2653061224489797
61;42;1.4523809523809523
64;54;1.1851851851851851
56;45;1.2444444444444445
64;50;1.28
76;62;1.2258064516129032
73;54;1.3518518518518519
71;53;1.3396226415094339
46;39;1.1794871794871795
67;51;1.3137254901960784
69;52;1.3269230769230769
66;50;1.32
54;41;1.3170731707317074
70;55;1.2727272727272727
57;41;1.3902439024390243
77;56;1.375
66;55;1.2
68;50;1.36
70;55;1.2727272727272727
63;52;1.2115384615384615
58;45;1.288888888888889
80;62;1.2903225806451613
80;62;1.2903225806451613
78;60;1.3
80;61;1.3114754098360655
54;45;1.2
62;50;1.24
58;47;1.2340425531914894
75;56;1.3392857142857142
78;65;1.2
80;61;1.3114754098360655
85;65;1.3076923076923077
77;61;1.2622950819672132
70;50;1.4
56;42;1.3333333333333333
54;42;1.2857142857142858
66;56;1.1785714285714286
70;51;1.3725490196078431
52;37;1.4054054054054055
68;52;1.3076923076923077
55;44;1.25
53;44;1.2045454545454546
67;49;1.3673469387755102
70;58;1.206896551724138
56;43;1.302325581395349
82;62;1.3225806451612903
56;44;1.2727272727272727
69;56;1.2321428571428572
50;40;1.25
74;58;1.2758620689655173
65;50;1.3
72;59;1.2203389830508475
54;43;1.255813953488372
72;55;1.309090909090909
66;53;1.2452830188679245
62;49;1.2653061224489797
49;38;1.2894736842105263
78;56;1.3928571428571428
67;52;1.2884615384615385
64;51;1.2549019607843137
61;50;1.22
64;49;1.3061224489795917
61;48;1.2708333333333333
46;35;1.3142857142857143
73;59;1.2372881355932204
46;37;1.2432432432432432
63;48;1.3125
69;52;1.3269230769230769
58;42;1.380952380952381
60;50;1.2
68;50;1.36
63;50;1.26
69;50;1.38
56;42;1.3333333333333333
63;49;1.2857142857142858
77;56;1.375
70;56;1.25
64;53;1.2075471698113207
72;54;1.3333333333333333
71;55;1.290909090909091
58;47;1.2340425531914894
73;57;1.280701754385965
69;54;1.2777777777777777
69;55;1.2545454545454546
67;51;1.3137254901960784
66;51;1.2941176470588236
52;43;1.2093023255813953
59;44;1.3409090909090908
60;46;1.3043478260869565
72;52;1.3846153846153846
71;54;1.3148148148148149
66;51;1.2941176470588236
77;60;1.2833333333333334
60;47;1.2765957446808511
69;54;1.2777777777777777
54;43;1.255813953488372
68;51;1.3333333333333333
71;59;1.2033898305084745
66;55;1.2
65;53;1.2264150943396226
67;50;1.34
64;51;1.2549019607843137
59;47;1.2553191489361701
51;40;1.275
41;33;1.2424242424242424
63;53;1.1886792452830188
73;55;1.3272727272727274
73;52;1.4038461538461537
58;45;1.288888888888889
69;55;1.2545454545454546
67;55;1.2181818181818183
65;50;1.3
60;47;1.2765957446808511
79;63;1.253968253968254
66;53;1.2452830188679245
73;55;1.3272727272727274
64;51;1.2549019607843137
61;51;1.196078431372549
68;53;1.2830188679245282
73;59;1.2372881355932204
75;58;1.293103448275862
71;51;1.392156862745098
68;49;1.3877551020408163
78;67;1.164179104477612
74;57;1.2982456140350878
65;50;1.3
61;49;1.2448979591836735
64;50;1.28
66;52;1.2692307692307692
75;55;1.3636363636363635
66;54;1.2222222222222223
72;55;1.309090909090909
79;60;1.3166666666666667
46;35;1.3142857142857143
81;60;1.35
66;54;1.2222222222222223
69;51;1.3529411764705883
70;54;1.2962962962962963
60;47;1.2765957446808511
68;52;1.3076923076923077
68;54;1.2592592592592593
58;42;1.380952380952381
62;48;1.2916666666666667
68;53;1.2830188679245282
59;45;1.3111111111111111
59;47;1.2553191489361701
64;46;1.391304347826087
60;47;1.2765957446808511
54;40;1.35
57;43;1.3255813953488371
66;52;1.2692307692307692
45;35;1.2857142857142858
65;53;1.2264150943396226
73;58;1.2586206896551724
77;64;1.203125
55;41;1.3414634146341464
53;40;1.325
63;47;1.3404255319148937
70;54;1.2962962962962963
75;54;1.3888888888888888
65;53;1.2264150943396226
63;51;1.2352941176470589
67;50;1.34
65;50;1.3
70;56;1.25
36;30;1.2
60;51;1.1764705882352942
60;45;1.3333333333333333
78;61;1.278688524590164
70;57;1.2280701754385965
69;52;1.3269230769230769
52;39;1.3333333333333333
85;63;1.3492063492063493
78;59;1.3220338983050848
48;41;1.170731707317073
75;59;1.271186440677966
65;48;1.3541666666666667
62;44;1.4090909090909092
66;51;1.2941176470588236
56;45;1.2444444444444445
74;61;1.2131147540983607
67;50;1.34
53;43;1.2325581395348837
72;58;1.2413793103448276
59;45;1.3111111111111111
70;53;1.320754716981132
74;53;1.3962264150943395
70;53;1.320754716981132
60;46;1.3043478260869565
56;44;1.2727272727272727
53;45;1.1777777777777778
63;44;1.4318181818181819
73;61;1.1967213114754098
72;60;1.2
55;45;1.2222222222222223
64;46;1.391304347826087
52;38;1.368421052631579
71;58;1.2241379310344827
82;61;1.3442622950819672
56;46;1.2173913043478262
77;56;1.375
69;52;1.3269230769230769
60;48;1.25
63;51;1.2352941176470589
72;59;1.2203389830508475
78;54;1.4444444444444444
65;51;1.2745098039215685
60;43;1.3953488372093024
64;49;1.3061224489795917
79;62;1.2741935483870968
65;54;1.2037037037037037
73;58;1.2586206896551724
53;39;1.358974358974359
65;54;1.2037037037037037
62;48;1.2916666666666667
64;52;1.2307692307692308
73;58;1.2586206896551724
67;49;1.3673469387755102
71;52;1.3653846153846154
64;48;1.3333333333333333
73;58;1.2586206896551724
78;59;1.3220338983050848
62;43;1.441860465116279
61;51;1.196078431372549
64;49;1.3061224489795917
60;47;1.2765957446808511
78;60;1.3
68;54;1.2592592592592593
70;57;1.2280701754385965
67;56;1.1964285714285714
69;53;1.3018867924528301
82;61;1.3442622950819672
74;56;1.3214285714285714
61;48;1.2708333333333333
74;61;1.2131147540983607
62;46;1.3478260869565217
52;38;1.368421052631579
51;44;1.1590909090909092
67;54;1.2407407407407407
57;46;1.2391304347826086
