online;opt;konk
69;53;1.3018867924528301
59;48;1.2291666666666667
65;51;1.2745098039215685
75;60;1.25
70;57;1.2280701754385965
77;56;1.375
75;58;1.293103448275862
76;61;1.2459016393442623
65;53;1.2264150943396226
80;64;1.25
74;58;1.2758620689655173
66;49;1.346938775510204
70;54;1.2962962962962963
55;45;1.2222222222222223
64;49;1.3061224489795917
76;63;1.2063492063492063
50;41;1.2195121951219512
79;58;1.3620689655172413
53;41;1.2926829268292683
63;49;1.2857142857142858
79;61;1.2950819672131149
75;60;1.25
60;44;1.3636363636363635
85;67;1.2686567164179106
78;62;1.2580645161290323
76;55;1.3818181818181818
77;57;1.3508771929824561
53;43;1.2325581395348837
64;54;1.1851851851851851
76;58;1.3103448275862069
56;40;1.4
66;51;1.2941176470588236
58;45;1.288888888888889
63;47;1.3404255319148937
67;53;1.2641509433962264
48;37;1.2972972972972974
73;54;1.3518518518518519
49;42;1.1666666666666667
59;47;1.2553191489361701
82;64;1.28125
85;65;1.3076923076923077
58;46;1.2608695652173914
59;47;1.2553191489361701
73;56;1.3035714285714286
77;61;1.2622950819672132
69;53;1.3018867924528301
65;49;1.3265306122448979
81;64;1.265625
63;50;1.26
55;46;1.1956521739130435
64;49;1.3061224489795917
57;46;1.2391304347826086
52;44;1.1818181818181819
71;53;1.3396226415094339
65;51;1.2745098039215685
76;57;1.3333333333333333
65;52;1.25
78;65;1.2
63;48;1.3125
88;68;1.2941176470588236
81;64;1.265625
55;42;1.3095238095238095
71;53;1.3396226415094339
60;47;1.2765957446808511
89;67;1.328358208955224
73;56;1.3035714285714286
76;61;1.2459016393442623
65;52;1.25
69;53;1.3018867924528301
57;45;1.2666666666666666
74;56;1.3214285714285714
44;35;1.2571428571428571
70;52;1.3461538461538463
58;46;1.2608695652173914
51;40;1.275
57;44;1.2954545454545454
76;56;1.3571428571428572
76;63;1.2063492063492063
47;37;1.2702702702702702
57;44;1.2954545454545454
68;51;1.3333333333333333
74;58;1.2758620689655173
58;45;1.288888888888889
52;40;1.3
43;36;1.1944444444444444
70;55;1.2727272727272727
65;56;1.1607142857142858
70;53;1.320754716981132
59;47;1.2553191489361701
62;42;1.4761904761904763
63;47;1.3404255319148937
85;61;1.3934426229508197
75;59;1.271186440677966
86;62;1.3870967741935485
74;57;1.2982456140350878
84;59;1.423728813559322
53;43;1.2325581395348837
65;48;1.3541666666666667
75;58;1.293103448275862
62;50;1.24
61;50;1.22
70;53;1.320754716981132
71;51;1.392156862745098
77;63;1.2222222222222223
50;41;1.2195121951219512
66;49;1.346938775510204
68;53;1.2830188679245282
66;54;1.2222222222222223
59;48;1.2291666666666667
54;44;1.2272727272727273
54;38;1.4210526315789473
55;45;1.2222222222222223
70;56;1.25
60;48;1.25
46;36;1.2777777777777777
54;41;1.3170731707317074
68;49;1.3877551020408163
51;38;1.3421052631578947
61;50;1.22
65;52;1.25
73;58;1.2586206896551724
68;52;1.3076923076923077
42;36;1.1666666666666667
69;53;1.3018867924528301
88;75;1.1733333333333333
69;55;1.2545454545454546
62;51;1.2156862745098038
62;47;1.3191489361702127
66;51;1.2941176470588236
67;55;1.2181818181818183
78;55;1.4181818181818182
56;42;1.3333333333333333
73;52;1.4038461538461537
68;52;1.3076923076923077
54;42;1.2857142857142858
66;57;1.1578947368421053
56;45;1.2444444444444445
60;47;1.2765957446808511
64;51;1.2549019607843137
52;40;1.3
58;46;1.2608695652173914
58;48;1.2083333333333333
76;60;1.2666666666666666
77;62;1.2419354838709677
70;59;1.1864406779661016
71;53;1.3396226415094339
49;42;1.1666666666666667
57;45;1.2666666666666666
55;43;1.2790697674418605
59;48;1.2291666666666667
60;47;1.2765957446808511
53;43;1.2325581395348837
55;42;1.3095238095238095
75;59;1.271186440677966
75;57;1.3157894736842106
71;60;1.1833333333333333
66;52;1.2692307692307692
55;45;1.2222222222222223
61;52;1.1730769230769231
75;57;1.3157894736842106
60;48;1.25
67;52;1.2884615384615385
58;44;1.3181818181818181
36;29;1.2413793103448276
70;55;1.2727272727272727
71;51;1.392156862745098
82;63;1.3015873015873016
71;57;1.2456140350877194
54;43;1.255813953488372
57;46;1.2391304347826086
48;40;1.2
63;52;1.2115384615384615
65;52;1.25
82;61;1.3442622950819672
63;49;1.2857142857142858
68;52;1.3076923076923077
57;43;1.3255813953488371
