online;opt;konk
59;51;1.1568627450980393
62;57;1.087719298245614
51;45;1.1333333333333333
59;50;1.18
50;45;1.1111111111111112
49;44;1.1136363636363635
52;46;1.1304347826086956
49;45;1.0888888888888888
60;52;1.1538461538461537
54;47;1.148936170212766
58;52;1.1153846153846154
56;50;1.12
47;44;1.0681818181818181
66;56;1.1785714285714286
61;57;1.0701754385964912
67;59;1.1355932203389831
61;53;1.150943396226415
57;49;1.163265306122449
50;43;1.1627906976744187
62;53;1.169811320754717
51;45;1.1333333333333333
54;49;1.1020408163265305
51;45;1.1333333333333333
62;53;1.169811320754717
57;49;1.163265306122449
61;54;1.1296296296296295
46;42;1.0952380952380953
56;50;1.12
44;40;1.1
62;54;1.1481481481481481
60;55;1.0909090909090908
58;52;1.1153846153846154
50;44;1.1363636363636365
63;55;1.1454545454545455
50;43;1.1627906976744187
59;54;1.0925925925925926
62;55;1.1272727272727272
68;58;1.1724137931034482
55;48;1.1458333333333333
66;59;1.11864406779661
62;56;1.1071428571428572
49;44;1.1136363636363635
62;56;1.1071428571428572
57;52;1.0961538461538463
49;45;1.0888888888888888
50;46;1.0869565217391304
56;49;1.1428571428571428
51;47;1.0851063829787233
60;57;1.0526315789473684
52;44;1.1818181818181819
67;59;1.1355932203389831
51;46;1.108695652173913
53;46;1.1521739130434783
54;48;1.125
68;59;1.152542372881356
60;56;1.0714285714285714
60;53;1.1320754716981132
58;53;1.0943396226415094
64;57;1.1228070175438596
71;60;1.1833333333333333
58;52;1.1153846153846154
71;62;1.1451612903225807
51;46;1.108695652173913
53;48;1.1041666666666667
70;61;1.1475409836065573
52;44;1.1818181818181819
52;46;1.1304347826086956
59;53;1.1132075471698113
59;54;1.0925925925925926
53;49;1.0816326530612246
62;55;1.1272727272727272
45;43;1.0465116279069768
62;54;1.1481481481481481
67;55;1.2181818181818183
63;55;1.1454545454545455
53;47;1.127659574468085
65;53;1.2264150943396226
66;54;1.2222222222222223
69;52;1.3269230769230769
65;57;1.1403508771929824
67;53;1.2641509433962264
61;52;1.1730769230769231
56;50;1.12
57;49;1.163265306122449
63;56;1.125
53;47;1.127659574468085
49;45;1.0888888888888888
63;55;1.1454545454545455
61;53;1.150943396226415
52;47;1.1063829787234043
55;48;1.1458333333333333
61;49;1.2448979591836735
56;49;1.1428571428571428
52;48;1.0833333333333333
56;50;1.12
57;51;1.1176470588235294
56;47;1.1914893617021276
57;47;1.2127659574468086
71;58;1.2241379310344827
53;47;1.127659574468085
62;56;1.1071428571428572
63;56;1.125
56;49;1.1428571428571428
65;57;1.1403508771929824
62;55;1.1272727272727272
61;53;1.150943396226415
61;55;1.1090909090909091
63;57;1.105263157894737
56;52;1.0769230769230769
60;54;1.1111111111111112
57;51;1.1176470588235294
62;55;1.1272727272727272
50;46;1.0869565217391304
54;48;1.125
59;53;1.1132075471698113
55;47;1.1702127659574468
65;55;1.1818181818181819
44;40;1.1
51;46;1.108695652173913
64;57;1.1228070175438596
56;51;1.0980392156862746
65;56;1.1607142857142858
57;51;1.1176470588235294
50;46;1.0869565217391304
54;49;1.1020408163265305
51;47;1.0851063829787233
59;52;1.1346153846153846
61;53;1.150943396226415
48;44;1.0909090909090908
56;49;1.1428571428571428
60;50;1.2
51;45;1.1333333333333333
66;57;1.1578947368421053
55;51;1.0784313725490196
59;52;1.1346153846153846
58;49;1.183673469387755
56;50;1.12
57;48;1.1875
47;43;1.0930232558139534
67;57;1.1754385964912282
53;48;1.1041666666666667
59;50;1.18
59;53;1.1132075471698113
