online;opt;konk
55;47;1.1702127659574468
64;50;1.28
34;31;1.096774193548387
64;57;1.1228070175438596
62;57;1.087719298245614
58;50;1.16
53;48;1.1041666666666667
75;60;1.25
66;56;1.1785714285714286
54;49;1.1020408163265305
60;50;1.2
74;61;1.2131147540983607
55;46;1.1956521739130435
82;65;1.2615384615384615
77;57;1.3508771929824561
46;45;1.0222222222222221
52;45;1.1555555555555554
59;51;1.1568627450980393
46;36;1.2777777777777777
56;45;1.2444444444444445
52;46;1.1304347826086956
61;52;1.1730769230769231
57;49;1.163265306122449
45;42;1.0714285714285714
45;40;1.125
53;46;1.1521739130434783
75;61;1.2295081967213115
68;59;1.152542372881356
68;55;1.2363636363636363
60;52;1.1538461538461537
66;55;1.2
65;54;1.2037037037037037
44;41;1.0731707317073171
70;61;1.1475409836065573
72;58;1.2413793103448276
66;53;1.2452830188679245
51;42;1.2142857142857142
53;45;1.1777777777777778
62;46;1.3478260869565217
76;63;1.2063492063492063
51;44;1.1590909090909092
63;51;1.2352941176470589
75;55;1.3636363636363635
54;50;1.08
58;51;1.1372549019607843
61;53;1.150943396226415
46;41;1.1219512195121952
60;51;1.1764705882352942
43;38;1.131578947368421
56;49;1.1428571428571428
39;36;1.0833333333333333
43;40;1.075
69;58;1.1896551724137931
51;43;1.186046511627907
67;56;1.1964285714285714
72;60;1.2
65;52;1.25
67;61;1.098360655737705
60;55;1.0909090909090908
68;56;1.2142857142857142
64;55;1.1636363636363636
74;65;1.1384615384615384
57;49;1.163265306122449
55;46;1.1956521739130435
60;52;1.1538461538461537
63;57;1.105263157894737
54;50;1.08
59;48;1.2291666666666667
70;62;1.1290322580645162
62;48;1.2916666666666667
56;50;1.12
51;46;1.108695652173913
52;47;1.1063829787234043
51;46;1.108695652173913
47;43;1.0930232558139534
71;57;1.2456140350877194
68;49;1.3877551020408163
73;63;1.1587301587301588
63;55;1.1454545454545455
71;56;1.2678571428571428
46;41;1.1219512195121952
45;41;1.0975609756097562
56;51;1.0980392156862746
55;47;1.1702127659574468
58;47;1.2340425531914894
69;56;1.2321428571428572
62;53;1.169811320754717
63;50;1.26
54;50;1.08
67;60;1.1166666666666667
65;52;1.25
50;44;1.1363636363636365
55;51;1.0784313725490196
48;46;1.0434782608695652
50;44;1.1363636363636365
67;58;1.1551724137931034
71;56;1.2678571428571428
60;50;1.2
46;43;1.069767441860465
51;44;1.1590909090909092
63;54;1.1666666666666667
70;53;1.320754716981132
72;60;1.2
55;49;1.1224489795918366
51;47;1.0851063829787233
61;55;1.1090909090909091
65;56;1.1607142857142858
42;40;1.05
58;51;1.1372549019607843
47;43;1.0930232558139534
39;35;1.1142857142857143
50;45;1.1111111111111112
53;47;1.127659574468085
58;53;1.0943396226415094
66;58;1.1379310344827587
60;45;1.3333333333333333
58;50;1.16
66;55;1.2
67;56;1.1964285714285714
54;47;1.148936170212766
70;60;1.1666666666666667
69;57;1.2105263157894737
70;59;1.1864406779661016
70;60;1.1666666666666667
50;44;1.1363636363636365
60;52;1.1538461538461537
53;47;1.127659574468085
64;56;1.1428571428571428
62;53;1.169811320754717
43;37;1.162162162162162
51;48;1.0625
64;56;1.1428571428571428
67;58;1.1551724137931034
72;63;1.1428571428571428
84;61;1.3770491803278688
76;58;1.3103448275862069
40;37;1.0810810810810811
62;57;1.087719298245614
63;54;1.1666666666666667
60;55;1.0909090909090908
77;62;1.2419354838709677
64;53;1.2075471698113207
49;44;1.1136363636363635
51;46;1.108695652173913
52;47;1.1063829787234043
38;36;1.0555555555555556
68;55;1.2363636363636363
71;58;1.2241379310344827
46;41;1.1219512195121952
45;39;1.1538461538461537
46;42;1.0952380952380953
47;42;1.119047619047619
62;57;1.087719298245614
78;63;1.2380952380952381
64;56;1.1428571428571428
52;44;1.1818181818181819
60;51;1.1764705882352942
49;45;1.0888888888888888
64;50;1.28
70;57;1.2280701754385965
48;44;1.0909090909090908
77;62;1.2419354838709677
53;49;1.0816326530612246
