online;opt;konk
64;52;1.2307692307692308
58;49;1.183673469387755
66;55;1.2
55;49;1.1224489795918366
61;50;1.22
63;55;1.1454545454545455
49;41;1.1951219512195121
53;46;1.1521739130434783
67;53;1.2641509433962264
68;55;1.2363636363636363
60;52;1.1538461538461537
58;51;1.1372549019607843
54;43;1.255813953488372
63;53;1.1886792452830188
61;54;1.1296296296296295
59;51;1.1568627450980393
56;45;1.2444444444444445
56;46;1.2173913043478262
50;42;1.1904761904761905
70;58;1.206896551724138
57;50;1.14
52;45;1.1555555555555554
52;47;1.1063829787234043
42;36;1.1666666666666667
51;43;1.186046511627907
50;45;1.1111111111111112
71;59;1.2033898305084745
60;51;1.1764705882352942
72;58;1.2413793103448276
59;51;1.1568627450980393
54;45;1.2
65;54;1.2037037037037037
64;53;1.2075471698113207
66;53;1.2452830188679245
61;51;1.196078431372549
64;54;1.1851851851851851
59;50;1.18
60;52;1.1538461538461537
58;48;1.2083333333333333
51;43;1.186046511627907
58;49;1.183673469387755
60;49;1.2244897959183674
57;52;1.0961538461538463
62;52;1.1923076923076923
62;52;1.1923076923076923
55;48;1.1458333333333333
75;61;1.2295081967213115
61;54;1.1296296296296295
59;48;1.2291666666666667
69;59;1.1694915254237288
68;56;1.2142857142857142
66;54;1.2222222222222223
63;54;1.1666666666666667
61;51;1.196078431372549
62;53;1.169811320754717
53;46;1.1521739130434783
57;51;1.1176470588235294
49;44;1.1136363636363635
46;41;1.1219512195121952
50;43;1.1627906976744187
53;46;1.1521739130434783
48;42;1.1428571428571428
66;57;1.1578947368421053
60;49;1.2244897959183674
47;42;1.119047619047619
50;44;1.1363636363636365
57;51;1.1176470588235294
58;51;1.1372549019607843
75;57;1.3157894736842106
62;52;1.1923076923076923
60;51;1.1764705882352942
66;58;1.1379310344827587
52;47;1.1063829787234043
56;47;1.1914893617021276
50;41;1.2195121951219512
52;45;1.1555555555555554
55;47;1.1702127659574468
60;52;1.1538461538461537
56;49;1.1428571428571428
64;54;1.1851851851851851
64;53;1.2075471698113207
68;59;1.152542372881356
61;51;1.196078431372549
51;44;1.1590909090909092
63;55;1.1454545454545455
