online;opt;konk
63;52;1.2115384615384615
54;47;1.148936170212766
64;54;1.1851851851851851
48;42;1.1428571428571428
60;54;1.1111111111111112
59;50;1.18
60;52;1.1538461538461537
53;47;1.127659574468085
64;51;1.2549019607843137
58;51;1.1372549019607843
56;48;1.1666666666666667
64;51;1.2549019607843137
54;45;1.2
60;49;1.2244897959183674
62;54;1.1481481481481481
65;52;1.25
62;52;1.1923076923076923
58;50;1.16
60;51;1.1764705882352942
65;58;1.1206896551724137
66;58;1.1379310344827587
60;49;1.2244897959183674
69;55;1.2545454545454546
69;58;1.1896551724137931
62;52;1.1923076923076923
64;53;1.2075471698113207
57;48;1.1875
75;63;1.1904761904761905
59;50;1.18
58;48;1.2083333333333333
65;53;1.2264150943396226
61;53;1.150943396226415
69;56;1.2321428571428572
53;45;1.1777777777777778
57;47;1.2127659574468086
46;40;1.15
56;47;1.1914893617021276
67;57;1.1754385964912282
62;54;1.1481481481481481
61;54;1.1296296296296295
61;53;1.150943396226415
49;44;1.1136363636363635
48;43;1.1162790697674418
56;47;1.1914893617021276
61;53;1.150943396226415
45;40;1.125
56;46;1.2173913043478262
60;48;1.25
52;47;1.1063829787234043
48;39;1.2307692307692308
57;48;1.1875
63;54;1.1666666666666667
63;55;1.1454545454545455
54;48;1.125
51;46;1.108695652173913
53;48;1.1041666666666667
61;51;1.196078431372549
65;52;1.25
55;50;1.1
59;50;1.18
57;52;1.0961538461538463
63;53;1.1886792452830188
55;48;1.1458333333333333
60;54;1.1111111111111112
60;50;1.2
57;48;1.1875
46;40;1.15
57;49;1.163265306122449
54;48;1.125
46;38;1.2105263157894737
55;48;1.1458333333333333
66;57;1.1578947368421053
58;47;1.2340425531914894
48;43;1.1162790697674418
62;52;1.1923076923076923
57;50;1.14
50;45;1.1111111111111112
59;50;1.18
55;48;1.1458333333333333
56;48;1.1666666666666667
50;44;1.1363636363636365
61;53;1.150943396226415
62;53;1.169811320754717
48;42;1.1428571428571428
65;54;1.2037037037037037
54;43;1.255813953488372
69;57;1.2105263157894737
58;53;1.0943396226415094
56;48;1.1666666666666667
51;45;1.1333333333333333
67;54;1.2407407407407407
57;50;1.14
63;52;1.2115384615384615
63;49;1.2857142857142858
68;57;1.1929824561403508
70;60;1.1666666666666667
58;52;1.1153846153846154
59;50;1.18
57;48;1.1875
52;46;1.1304347826086956
52;44;1.1818181818181819
69;55;1.2545454545454546
71;58;1.2241379310344827
54;47;1.148936170212766
64;53;1.2075471698113207
71;59;1.2033898305084745
45;41;1.0975609756097562
52;45;1.1555555555555554
61;51;1.196078431372549
56;45;1.2444444444444445
54;46;1.173913043478261
49;44;1.1136363636363635
55;48;1.1458333333333333
52;46;1.1304347826086956
49;44;1.1136363636363635
60;51;1.1764705882352942
62;56;1.1071428571428572
49;43;1.1395348837209303
62;54;1.1481481481481481
57;47;1.2127659574468086
61;50;1.22
52;44;1.1818181818181819
53;46;1.1521739130434783
63;52;1.2115384615384615
54;48;1.125
54;47;1.148936170212766
64;54;1.1851851851851851
54;47;1.148936170212766
74;58;1.2758620689655173
60;51;1.1764705882352942
54;45;1.2
55;49;1.1224489795918366
56;50;1.12
60;50;1.2
69;56;1.2321428571428572
51;45;1.1333333333333333
57;52;1.0961538461538463
51;46;1.108695652173913
64;57;1.1228070175438596
63;52;1.2115384615384615
53;45;1.1777777777777778
49;44;1.1136363636363635
61;52;1.1730769230769231
64;53;1.2075471698113207
54;47;1.148936170212766
47;43;1.0930232558139534
72;60;1.2
