online;opt;konk
58;51;1.1372549019607843
62;51;1.2156862745098038
69;54;1.2777777777777777
65;54;1.2037037037037037
63;48;1.3125
49;42;1.1666666666666667
75;63;1.1904761904761905
76;59;1.2881355932203389
54;48;1.125
48;43;1.1162790697674418
50;44;1.1363636363636365
52;46;1.1304347826086956
72;57;1.263157894736842
46;41;1.1219512195121952
48;43;1.1162790697674418
61;49;1.2448979591836735
41;37;1.1081081081081081
59;52;1.1346153846153846
72;65;1.1076923076923078
62;49;1.2653061224489797
67;56;1.1964285714285714
58;50;1.16
72;55;1.309090909090909
41;37;1.1081081081081081
70;60;1.1666666666666667
44;34;1.2941176470588236
69;53;1.3018867924528301
40;36;1.1111111111111112
40;36;1.1111111111111112
71;62;1.1451612903225807
64;55;1.1636363636363636
56;50;1.12
69;60;1.15
70;55;1.2727272727272727
66;60;1.1
75;60;1.25
83;64;1.296875
60;49;1.2244897959183674
49;45;1.0888888888888888
47;40;1.175
57;48;1.1875
52;47;1.1063829787234043
50;44;1.1363636363636365
61;54;1.1296296296296295
52;43;1.2093023255813953
78;63;1.2380952380952381
74;64;1.15625
53;48;1.1041666666666667
68;53;1.2830188679245282
49;44;1.1136363636363635
68;56;1.2142857142857142
55;48;1.1458333333333333
73;61;1.1967213114754098
66;53;1.2452830188679245
59;54;1.0925925925925926
59;49;1.2040816326530612
56;49;1.1428571428571428
67;55;1.2181818181818183
61;52;1.1730769230769231
70;61;1.1475409836065573
56;48;1.1666666666666667
53;46;1.1521739130434783
72;64;1.125
56;45;1.2444444444444445
67;62;1.0806451612903225
61;50;1.22
58;51;1.1372549019607843
69;57;1.2105263157894737
70;66;1.0606060606060606
70;58;1.206896551724138
62;56;1.1071428571428572
42;38;1.105263157894737
43;37;1.162162162162162
62;51;1.2156862745098038
55;48;1.1458333333333333
56;46;1.2173913043478262
55;49;1.1224489795918366
59;53;1.1132075471698113
55;49;1.1224489795918366
76;64;1.1875
55;48;1.1458333333333333
49;44;1.1136363636363635
54;47;1.148936170212766
65;53;1.2264150943396226
66;56;1.1785714285714286
53;44;1.2045454545454546
69;63;1.0952380952380953
76;64;1.1875
65;52;1.25
40;37;1.0810810810810811
54;44;1.2272727272727273
68;54;1.2592592592592593
54;44;1.2272727272727273
76;62;1.2258064516129032
54;43;1.255813953488372
79;68;1.161764705882353
50;46;1.0869565217391304
69;53;1.3018867924528301
64;56;1.1428571428571428
70;55;1.2727272727272727
68;53;1.2830188679245282
72;60;1.2
76;67;1.1343283582089552
56;49;1.1428571428571428
60;49;1.2244897959183674
64;55;1.1636363636363636
51;46;1.108695652173913
76;61;1.2459016393442623
59;48;1.2291666666666667
58;50;1.16
56;49;1.1428571428571428
52;47;1.1063829787234043
67;58;1.1551724137931034
62;53;1.169811320754717
67;56;1.1964285714285714
71;57;1.2456140350877194
62;47;1.3191489361702127
54;49;1.1020408163265305
76;64;1.1875
67;57;1.1754385964912282
75;68;1.1029411764705883
74;60;1.2333333333333334
32;30;1.0666666666666667
50;41;1.2195121951219512
81;62;1.3064516129032258
75;63;1.1904761904761905
49;43;1.1395348837209303
56;49;1.1428571428571428
