online;opt;konk
47;43;1.0930232558139534
37;32;1.15625
52;45;1.1555555555555554
71;61;1.1639344262295082
59;47;1.2553191489361701
60;53;1.1320754716981132
66;58;1.1379310344827587
77;62;1.2419354838709677
68;56;1.2142857142857142
69;55;1.2545454545454546
57;51;1.1176470588235294
48;42;1.1428571428571428
57;50;1.14
56;49;1.1428571428571428
58;48;1.2083333333333333
66;54;1.2222222222222223
56;52;1.0769230769230769
67;56;1.1964285714285714
52;41;1.2682926829268293
56;48;1.1666666666666667
55;50;1.1
64;56;1.1428571428571428
40;37;1.0810810810810811
70;63;1.1111111111111112
56;45;1.2444444444444445
58;48;1.2083333333333333
48;44;1.0909090909090908
72;60;1.2
50;43;1.1627906976744187
55;49;1.1224489795918366
74;58;1.2758620689655173
60;55;1.0909090909090908
45;40;1.125
54;48;1.125
67;50;1.34
50;46;1.0869565217391304
49;45;1.0888888888888888
75;60;1.25
57;49;1.163265306122449
54;47;1.148936170212766
66;54;1.2222222222222223
62;53;1.169811320754717
51;47;1.0851063829787233
59;46;1.2826086956521738
39;35;1.1142857142857143
44;37;1.1891891891891893
59;55;1.0727272727272728
67;53;1.2641509433962264
60;56;1.0714285714285714
62;49;1.2653061224489797
71;61;1.1639344262295082
51;43;1.186046511627907
51;45;1.1333333333333333
50;46;1.0869565217391304
80;64;1.25
77;57;1.3508771929824561
39;36;1.0833333333333333
56;48;1.1666666666666667
45;42;1.0714285714285714
59;48;1.2291666666666667
77;62;1.2419354838709677
71;60;1.1833333333333333
71;59;1.2033898305084745
58;49;1.183673469387755
44;41;1.0731707317073171
67;53;1.2641509433962264
57;50;1.14
58;51;1.1372549019607843
54;51;1.0588235294117647
51;46;1.108695652173913
50;44;1.1363636363636365
56;48;1.1666666666666667
58;53;1.0943396226415094
57;49;1.163265306122449
64;52;1.2307692307692308
73;61;1.1967213114754098
31;30;1.0333333333333334
60;54;1.1111111111111112
51;43;1.186046511627907
65;53;1.2264150943396226
55;49;1.1224489795918366
47;41;1.146341463414634
62;50;1.24
60;55;1.0909090909090908
66;54;1.2222222222222223
59;50;1.18
54;49;1.1020408163265305
60;54;1.1111111111111112
65;55;1.1818181818181819
48;40;1.2
75;61;1.2295081967213115
77;69;1.1159420289855073
71;55;1.290909090909091
67;57;1.1754385964912282
49;42;1.1666666666666667
52;48;1.0833333333333333
47;44;1.0681818181818181
55;50;1.1
68;58;1.1724137931034482
46;43;1.069767441860465
52;48;1.0833333333333333
64;56;1.1428571428571428
50;47;1.0638297872340425
54;48;1.125
70;57;1.2280701754385965
61;51;1.196078431372549
61;51;1.196078431372549
67;52;1.2884615384615385
49;45;1.0888888888888888
59;49;1.2040816326530612
68;56;1.2142857142857142
67;60;1.1166666666666667
61;53;1.150943396226415
50;46;1.0869565217391304
52;44;1.1818181818181819
53;50;1.06
48;44;1.0909090909090908
48;45;1.0666666666666667
69;61;1.1311475409836065
57;50;1.14
67;56;1.1964285714285714
57;45;1.2666666666666666
53;46;1.1521739130434783
68;56;1.2142857142857142
76;61;1.2459016393442623
47;43;1.0930232558139534
45;40;1.125
52;45;1.1555555555555554
50;46;1.0869565217391304
50;44;1.1363636363636365
52;47;1.1063829787234043
53;48;1.1041666666666667
39;36;1.0833333333333333
61;52;1.1730769230769231
59;49;1.2040816326530612
52;47;1.1063829787234043
60;50;1.2
51;46;1.108695652173913
44;41;1.0731707317073171
65;57;1.1403508771929824
75;66;1.1363636363636365
61;50;1.22
71;57;1.2456140350877194
62;53;1.169811320754717
64;55;1.1636363636363636
74;59;1.2542372881355932
66;57;1.1578947368421053
60;54;1.1111111111111112
65;60;1.0833333333333333
60;50;1.2
57;51;1.1176470588235294
